year,harvvol
1940,3240000
1941,3636000
1942,3543000
1943,3087000
1944,3837000
1945,3614000
1946,3763000
1947,3847000
1948,3795000
1949,3089000
1950,3605000
1951,3532000
1952,3625000
1953,3047000
1954,3037000
1955,3214000
1956,3248000
1957,3566000
1958,3047000
1959,3823000
1960,4205000
1961,3352000
1962,3729000
1963,3779000
1964,3525000
1965,3584000
1966,3689000
1967,3151000
1968,3703000
1969,4128000
1970,4143000
1971,4138000
1972,4893000
1973,5599000
1974,5058000
1975,4963000
1976,5627000
1977,6370000
1978,6519000
1979,6995000
1980,5933000
1981,6586000
1982,5714000
1983,7344000
1984,8457000
1985,8979000
1986,10387000
1987,10496000
1988,11990000
1989,12293000
1990,11910649
1991,12925774
1992,14593593
1993,14896552
1994,19790306
1995,20286685
1996,20036635
1997,22216719
1998,17171646
1999,23728839
2000,23418265
2001,23474395
2002,24673120
2003,24228202
2004,23509548
2005,27545885
2006,25268683
2007,20512718
2008,19824086
2009,20013829
2010,21052188
2011,24886478
2012,23030991
2013,22528301
2014,23358416
2015,27794761
2016,25818477
2017,27322966
2018,27146006
