TRM,M,RGE,TWP,FMU_NAME,FMU_CODE,areaha
"068104","4","10","68",L1,L01,9513.463
"069104","4","10","69",L1,L01,9495.492
"071104","4","10","71",L1,L01,9563.569
"074104","4","10","74",L1,L01,9453.940
"075104","4","10","75",L1,L01,4772.344
"075104","4","10","75",L11,L11,4749.345
"078104","4","10","78",L11,L11,9457.243
"079104","4","10","79",L11,L11,9533.766
"081104","4","10","81",A16,A16,9487.879
"083104","4","10","83",A16,A16,9541.381
"085104","4","10","85",A16,A16,9483.968
"088104","4","10","88",A16,A16,9497.740
"089104","4","10","89",A16,A16,9494.862
"091104","4","10","91",A16,A16,9549.114
"093104","4","10","93",A16,A16,9488.415
"095104","4","10","95",A16,A16,9545.834
"096104","4","10","96",A16,A16,9518.107
"099104","4","10","99",A16,A16,9535.729
"101104","4","10","101",A10,A10,9489.435
"103104","4","10","103",A10,A10,9540.515
"109104","4","10","109",A12,A12,696.870
"124104","4","10","124",A13,A13,135.359
"126104","4","10","126",A13,A13,9641.360
"057114","4","11","57",LO1,L51,9485.282
"058114","4","11","58",LO1,L51,9469.969
"061114","4","11","61",LO1,L51,9492.198
"062114","4","11","62",LO1,L51,9459.822
"064114","4","11","64",LO1,L51,9501.930
"066114","4","11","66",LO1,L51,9480.129
"068114","4","11","68",L1,L01,9514.763
"071114","4","11","71",L1,L01,9561.349
"072114","4","11","72",L1,L01,9508.062
"074114","4","11","74",L1,L01,9455.353
"076114","4","11","76",L11,L11,9509.107
"078114","4","11","78",L11,L11,9459.836
"079114","4","11","79",L11,L11,9533.078
"082114","4","11","82",A16,A16,9469.961
"084114","4","11","84",A16,A16,9505.754
"086114","4","11","86",A16,A16,9455.678
"088114","4","11","88",A16,A16,9506.593
"089114","4","11","89",A16,A16,9483.792
"092114","4","11","92",A16,A16,9504.824
"093114","4","11","93",A16,A16,9484.642
"096114","4","11","96",A16,A16,9502.793
"098114","4","11","98",A16,A16,9446.385
"099114","4","11","99",A16,A16,9541.640
"102114","4","11","102",A10,A10,9463.309
"103114","4","11","103",A10,A10,9543.898
"124114","4","11","124",A13,A13,152.916
"127114","4","11","127",A13,A13,32.463
"054224","4","22","54",LO1,L51,138.295
"056224","4","22","56",LO1,L51,9528.042
"058224","4","22","58",LO1,L51,9432.969
"059224","4","22","59",LO1,L51,9474.623
"062224","4","22","62",LO1,L51,9385.001
"063224","4","22","63",LO1,L51,9442.246
"066224","4","22","66",LO1,L51,7500.516
"066224","4","22","66",SO1,S51,1883.503
"068224","4","22","68",LO1,L51,9503.678
"069224","4","22","69",LO1,L51,9492.925
"072224","4","22","72",L2,L02,9507.840
"073224","4","22","73",L2,L02,9487.851
"076224","4","22","76",L2,L02,9509.901
"077224","4","22","77",S18,S18,9488.623
"079224","4","22","79",S18,S18,9529.517
"082224","4","22","82",S18,S18,9472.637
"083224","4","22","83",S22,S22,9546.663
"086224","4","22","86",S22,S22,9455.318
"087224","4","22","87",S22,S22,9531.255
"089224","4","22","89",S22,S22,9486.906
"091224","4","22","91",S22,S22,9547.344
"093224","4","22","93",S22,S22,9486.311
"096224","4","22","96",S22,S22,9507.640
"097224","4","22","97",A9,A09,9484.871
"099224","4","22","99",A9,A09,9535.516
"101224","4","22","101",A9,A09,9488.279
"103224","4","22","103",A9,A09,9545.116
"104224","4","22","104",A9,A09,9514.328
"055234","4","23","55",LO1,L51,9554.729
"056234","4","23","56",LO1,L51,9509.933
"059234","4","23","59",LO1,L51,9509.935
"060234","4","23","60",LO1,L51,9524.557
"062234","4","23","62",LO1,L51,9401.498
"064234","4","23","64",LO1,L51,2933.440
"064234","4","23","64",SO1,S51,6570.339
"066234","4","23","66",LO1,L51,553.331
"066234","4","23","66",SO1,S51,8857.719
"069234","4","23","69",L2,L02,0.002
"069234","4","23","69",LO1,L51,5299.436
"069234","4","23","69",S23,S23,839.155
"069234","4","23","69",SO1,S51,3350.486
"070234","4","23","70",L2,L02,8557.467
"070234","4","23","70",LO1,L51,0.002
"070234","4","23","70",S23,S23,939.072
"072234","4","23","72",L2,L02,9508.939
"074234","4","23","74",L2,L02,3148.792
"074234","4","23","74",S17,S17,6308.850
"076234","4","23","76",L2,L02,8455.564
"076234","4","23","76",S17,S17,1057.475
"077234","4","23","77",S18,S18,9491.666
"080234","4","23","80",S18,S18,9509.005
"082234","4","23","82",S18,S18,9473.358
"084234","4","23","84",S22,S22,9508.167
"086234","4","23","86",S22,S22,9454.811
"087234","4","23","87",S22,S22,9530.845
"090234","4","23","90",S22,S22,9471.718
"091234","4","23","91",S22,S22,9547.253
"094234","4","23","94",S22,S22,9466.815
"096234","4","23","96",S22,S22,9507.423
"097234","4","23","97",A9,A09,9484.818
"100234","4","23","100",A9,A09,9511.546
"101234","4","23","101",A9,A09,9488.732
"066065","5","6","66",W16,W16,9457.155
"067065","5","6","67",S20,S20,9531.151
"069065","5","6","69",S17,S17,1580.368
"069065","5","6","69",S20,S20,7901.572
"072065","5","6","72",S17,S17,2383.281
"072065","5","6","72",S20,S20,6399.868
"072065","5","6","72",SO2,S52,720.666
"073065","5","6","73",S17,S17,4.206
"073065","5","6","73",S20,S20,566.169
"073065","5","6","73",SO2,S52,8926.299
"076065","5","6","76",S17,S17,9512.764
"077065","5","6","77",S17,S17,9487.476
"079065","5","6","79",S18,S18,9563.913
"081065","5","6","81",S18,S18,9488.131
"083065","5","6","83",S19,S19,9505.762
"086065","5","6","86",S11,S11,9463.285
"087065","5","6","87",S11,S11,9537.189
"089065","5","6","89",S10,S10,9487.334
"091065","5","6","91",P21,P21,4775.688
"091065","5","6","91",S14,S14,4775.559
"093065","5","6","93",S14,S14,9487.140
"094065","5","6","94",P21,P21,3154.346
"094065","5","6","94",S14,S14,6308.936
"097065","5","6","97",F26,F26,9489.662
"099065","5","6","99",F26,F26,9546.506
"101065","5","6","101",F26,F26,9490.010
"103065","5","6","103",F26,F26,9546.488
"104065","5","6","104",F26,F26,9512.601
"107065","5","6","107",F26,F26,9513.876
"108065","5","6","108",F23,F23,7021.930
"108065","5","6","108",F26,F26,2491.357
"111065","5","6","111",F23,F23,9532.868
"113065","5","6","113",F23,F23,9483.687
"114065","5","6","114",F23,F23,9461.745
"117065","5","6","117",F10,F10,9484.730
"118065","5","6","118",F10,F10,9463.103
"016075","5","7","16",B11,B11,116.798
"019075","5","7","19",B11,B11,8720.954
"020075","5","7","20",B11,B11,9332.495
"020075","5","7","20",B12,B12,172.142
"022075","5","7","22",B11,B11,2857.253
"022075","5","7","22",B12,B12,6617.698
"024075","5","7","24",B12,B12,7000.121
"024075","5","7","24",BO1,B51,2497.223
"026075","5","7","26",B12,B12,4141.426
"026075","5","7","26",BO2,B52,5381.113
"027075","5","7","27",B12,B12,9282.325
"027075","5","7","27",BO2,B52,272.480
"030075","5","7","30",B12,B12,9487.347
"032075","5","7","32",B12,B12,7917.086
"032075","5","7","32",BO2,B52,1581.687
"034075","5","7","34",BO2,B52,1311.578
"034075","5","7","34",R10,R10,8165.454
"036075","5","7","36",BO2,B52,517.971
"036075","5","7","36",R10,R10,4223.082
"036075","5","7","36",RO1,R51,4768.935
"037075","5","7","37",R10,R10,1789.414
"037075","5","7","37",RO1,R51,7717.969
"040075","5","7","40",RO1,R51,9507.327
"041075","5","7","41",R15,R15,1946.207
"041075","5","7","41",RO1,R51,7535.238
"044075","5","7","44",R15,R15,7132.417
"044075","5","7","44",RO1,R51,2368.884
"046075","5","7","46",RO1,R51,9411.460
"047075","5","7","47",RO1,R51,9486.363
"050075","5","7","50",RO1,R51,9461.383
"050075","5","7","50",WO2,W52,0.001
"051075","5","7","51",WO2,W52,9479.209
"054075","5","7","54",WO2,W52,9406.941
"055075","5","7","55",WO2,W52,9486.699
"057075","5","7","57",WO2,W52,9483.199
"060075","5","7","60",WO2,W52,9495.292
"061075","5","7","61",WO2,W52,9484.152
"064075","5","7","64",W16,W16,9497.111
"065075","5","7","65",W16,W16,9473.580
"067075","5","7","67",S20,S20,9530.147
"069075","5","7","69",S20,S20,9480.159
"071075","5","7","71",S20,S20,9495.065
"074075","5","7","74",SO2,S52,9430.994
"075075","5","7","75",S17,S17,2132.969
"075075","5","7","75",SO2,S52,7381.597
"077075","5","7","77",S17,S17,9487.228
"079075","5","7","79",S17,S17,815.823
"079075","5","7","79",S18,S18,8747.307
"081075","5","7","81",S19,S19,9488.875
"082075","5","7","82",S19,S19,9431.157
"085075","5","7","85",S10,S10,9489.198
"087075","5","7","87",S10,S10,9536.877
"089075","5","7","89",S10,S10,9487.314
"091075","5","7","91",P21,P21,9551.977
"092075","5","7","92",P21,P21,9509.730
"095075","5","7","95",P21,P21,9542.725
"096075","5","7","96",P21,P21,9512.092
