TRM,M,RGE,TWP,FMU_NAME,FMU_CODE,areaha,ECOZONE,ZONE_NAME,FTEAREA
"068104","4","10","68",L1,L01,9513.463,"9",Boreal PLain,9513.463
"069104","4","10","69",L1,L01,9495.492,"9",Boreal PLain,9495.492
"071104","4","10","71",L1,L01,9563.569,"9",Boreal PLain,9563.569
"074104","4","10","74",L1,L01,9453.940,"9",Boreal PLain,9453.939
"075104","4","10","75",L1,L01,4772.344,"9",Boreal PLain,4772.354
"075104","4","10","75",L11,L11,4749.345,"9",Boreal PLain,4749.336
"078104","4","10","78",L11,L11,9457.243,"9",Boreal PLain,9457.242
"079104","4","10","79",L11,L11,9533.766,"9",Boreal PLain,9533.767
"081104","4","10","81",A16,A16,9487.879,"9",Boreal PLain,9487.879
"083104","4","10","83",A16,A16,9541.381,"9",Boreal PLain,9541.382
"085104","4","10","85",A16,A16,9483.968,"9",Boreal PLain,9483.968
"088104","4","10","88",A16,A16,9497.740,"9",Boreal PLain,9497.740
"089104","4","10","89",A16,A16,9494.862,"9",Boreal PLain,9494.862
"091104","4","10","91",A16,A16,9549.114,"9",Boreal PLain,9549.115
"093104","4","10","93",A16,A16,9488.415,"9",Boreal PLain,9488.415
"095104","4","10","95",A16,A16,9545.834,"9",Boreal PLain,9545.836
"096104","4","10","96",A16,A16,9518.107,"9",Boreal PLain,9518.107
"099104","4","10","99",A16,A16,9535.729,"9",Boreal PLain,9535.731
"101104","4","10","101",A10,A10,9489.435,"9",Boreal PLain,9489.436
"103104","4","10","103",A10,A10,9540.515,"9",Boreal PLain,9540.516
"109104","4","10","109",A12,A12,696.870,"9",Boreal PLain,696.870
"124104","4","10","124",A13,A13,135.359,"9",Boreal PLain,135.356
"126104","4","10","126",A13,A13,9641.360,"9",Boreal PLain,9641.360
"057114","4","11","57",LO1,L51,9485.282,"9",Boreal PLain,9485.282
"058114","4","11","58",LO1,L51,9469.969,"9",Boreal PLain,9469.968
"061114","4","11","61",LO1,L51,9492.198,"9",Boreal PLain,9492.198
"062114","4","11","62",LO1,L51,9459.822,"9",Boreal PLain,9459.820
"064114","4","11","64",LO1,L51,9501.930,"9",Boreal PLain,9501.930
"066114","4","11","66",LO1,L51,9480.129,"9",Boreal PLain,9480.128
"068114","4","11","68",L1,L01,9514.763,"9",Boreal PLain,9514.763
"071114","4","11","71",L1,L01,9561.349,"9",Boreal PLain,9561.351
"072114","4","11","72",L1,L01,9508.062,"9",Boreal PLain,9508.062
"074114","4","11","74",L1,L01,9455.353,"9",Boreal PLain,9455.351
"076114","4","11","76",L11,L11,9509.107,"9",Boreal PLain,9509.107
"078114","4","11","78",L11,L11,9459.836,"9",Boreal PLain,9459.835
"079114","4","11","79",L11,L11,9533.078,"9",Boreal PLain,9533.079
"082114","4","11","82",A16,A16,9469.961,"9",Boreal PLain,9469.959
"084114","4","11","84",A16,A16,9505.754,"9",Boreal PLain,9505.754
"086114","4","11","86",A16,A16,9455.678,"9",Boreal PLain,9455.677
"088114","4","11","88",A16,A16,9506.593,"9",Boreal PLain,9506.593
"089114","4","11","89",A16,A16,9483.792,"9",Boreal PLain,9483.792
"092114","4","11","92",A16,A16,9504.824,"9",Boreal PLain,9504.824
"093114","4","11","93",A16,A16,9484.642,"9",Boreal PLain,9484.642
"096114","4","11","96",A16,A16,9502.793,"9",Boreal PLain,9502.793
"098114","4","11","98",A16,A16,9446.385,"9",Boreal PLain,9446.383
"099114","4","11","99",A16,A16,9541.640,"9",Boreal PLain,9541.642
"102114","4","11","102",A10,A10,9463.309,"9",Boreal PLain,9463.307
"103114","4","11","103",A10,A10,9543.898,"9",Boreal PLain,9543.900
"124114","4","11","124",A13,A13,152.916,"9",Boreal PLain,152.916
"127114","4","11","127",A13,A13,32.463,"9",Boreal PLain,32.508
"054224","4","22","54",LO1,L51,138.295,"10",Prairie,138.295
"056224","4","22","56",LO1,L51,9528.042,"10",Prairie,9528.042
"058224","4","22","58",LO1,L51,9432.969,"9",Boreal PLain,7823.117
