Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height
1,AB,4,ABIE,LAS,, 10.00, 11.74
2,AB,4,ABIE,LAS,, 10.10, 11.78
3,AB,4,ABIE,LAS,, 10.20, 11.83
4,AB,4,ABIE,LAS,, 10.30, 11.87
5,AB,4,ABIE,LAS,, 10.40, 11.92
6,AB,4,ABIE,LAS,, 10.50, 11.96
7,AB,4,ABIE,LAS,, 10.60, 12.00
8,AB,4,ABIE,LAS,, 10.70, 12.05
9,AB,4,ABIE,LAS,, 10.80, 12.09
10,AB,4,ABIE,LAS,, 10.90, 12.13
11,AB,4,ABIE,LAS,, 11.00, 12.17
12,AB,4,ABIE,LAS,, 11.10, 12.22
13,AB,4,ABIE,LAS,, 11.20, 12.26
14,AB,4,ABIE,LAS,, 11.30, 12.30
15,AB,4,ABIE,LAS,, 11.40, 12.34
16,AB,4,ABIE,LAS,, 11.50, 12.38
17,AB,4,ABIE,LAS,, 11.60, 12.42
18,AB,4,ABIE,LAS,, 11.70, 12.46
19,AB,4,ABIE,LAS,, 11.80, 12.51
20,AB,4,ABIE,LAS,, 11.90, 12.55
21,AB,4,ABIE,LAS,, 12.00, 12.59
22,AB,4,ABIE,LAS,, 12.10, 12.63
23,AB,4,ABIE,LAS,, 12.20, 12.67
24,AB,4,ABIE,LAS,, 12.30, 12.71
25,AB,4,ABIE,LAS,, 12.40, 12.74
26,AB,4,ABIE,LAS,, 12.50, 12.78
27,AB,4,ABIE,LAS,, 12.60, 12.82
28,AB,4,ABIE,LAS,, 12.70, 12.86
29,AB,4,ABIE,LAS,, 12.80, 12.90
30,AB,4,ABIE,LAS,, 12.90, 12.94
31,AB,4,ABIE,LAS,, 13.00, 12.98
32,AB,4,ABIE,LAS,, 13.10, 13.02
33,AB,4,ABIE,LAS,, 13.20, 13.05
34,AB,4,ABIE,LAS,, 13.30, 13.09
35,AB,4,ABIE,LAS,, 13.40, 13.13
36,AB,4,ABIE,LAS,, 13.50, 13.17
37,AB,4,ABIE,LAS,, 13.60, 13.20
38,AB,4,ABIE,LAS,, 13.70, 13.24
39,AB,4,ABIE,LAS,, 13.80, 13.28
40,AB,4,ABIE,LAS,, 13.90, 13.31
41,AB,4,ABIE,LAS,, 14.00, 13.35
42,AB,4,ABIE,LAS,, 14.10, 13.39
43,AB,4,ABIE,LAS,, 14.20, 13.42
44,AB,4,ABIE,LAS,, 14.30, 13.46
45,AB,4,ABIE,LAS,, 14.40, 13.49
46,AB,4,ABIE,LAS,, 14.50, 13.53
47,AB,4,ABIE,LAS,, 14.60, 13.57
48,AB,4,ABIE,LAS,, 14.70, 13.60
49,AB,4,ABIE,LAS,, 14.80, 13.64
50,AB,4,ABIE,LAS,, 14.90, 13.67
51,AB,4,ABIE,LAS,, 15.00, 13.71
52,AB,4,ABIE,LAS,, 15.10, 13.74
53,AB,4,ABIE,LAS,, 15.20, 13.78
54,AB,4,ABIE,LAS,, 15.30, 13.81
55,AB,4,ABIE,LAS,, 15.40, 13.85
56,AB,4,ABIE,LAS,, 15.50, 13.88
57,AB,4,ABIE,LAS,, 15.60, 13.91
58,AB,4,ABIE,LAS,, 15.70, 13.95
59,AB,4,ABIE,LAS,, 15.80, 13.98
60,AB,4,ABIE,LAS,, 15.90, 14.02
61,AB,4,ABIE,LAS,, 16.00, 14.05
62,AB,4,ABIE,LAS,, 16.10, 14.08
63,AB,4,ABIE,LAS,, 16.20, 14.12
64,AB,4,ABIE,LAS,, 16.30, 14.15
65,AB,4,ABIE,LAS,, 16.40, 14.18
66,AB,4,ABIE,LAS,, 16.50, 14.22
67,AB,4,ABIE,LAS,, 16.60, 14.25
68,AB,4,ABIE,LAS,, 16.70, 14.28
69,AB,4,ABIE,LAS,, 16.80, 14.31
70,AB,4,ABIE,LAS,, 16.90, 14.35
71,AB,4,ABIE,LAS,, 17.00, 14.38
72,AB,4,ABIE,LAS,, 17.10, 14.41
73,AB,4,ABIE,LAS,, 17.20, 14.44
74,AB,4,ABIE,LAS,, 17.30, 14.47
75,AB,4,ABIE,LAS,, 17.40, 14.51
76,AB,4,ABIE,LAS,, 17.50, 14.54
77,AB,4,ABIE,LAS,, 17.60, 14.57
78,AB,4,ABIE,LAS,, 17.70, 14.60
79,AB,4,ABIE,LAS,, 17.80, 14.63
80,AB,4,ABIE,LAS,, 17.90, 14.66
81,AB,4,ABIE,LAS,, 18.00, 14.70
82,AB,4,ABIE,LAS,, 18.10, 14.73
83,AB,4,ABIE,LAS,, 18.20, 14.76
84,AB,4,ABIE,LAS,, 18.30, 14.79
85,AB,4,ABIE,LAS,, 18.40, 14.82
86,AB,4,ABIE,LAS,, 18.50, 14.85
87,AB,4,ABIE,LAS,, 18.60, 14.88
88,AB,4,ABIE,LAS,, 18.70, 14.91
89,AB,4,ABIE,LAS,, 18.80, 14.94
90,AB,4,ABIE,LAS,, 18.90, 14.97
91,AB,4,ABIE,LAS,, 19.00, 15.00
92,AB,4,ABIE,LAS,, 19.10, 15.03
93,AB,4,ABIE,LAS,, 19.20, 15.06
94,AB,4,ABIE,LAS,, 19.30, 15.09
95,AB,4,ABIE,LAS,, 19.40, 15.12
96,AB,4,ABIE,LAS,, 19.50, 15.15
97,AB,4,ABIE,LAS,, 19.60, 15.18
98,AB,4,ABIE,LAS,, 19.70, 15.21
99,AB,4,ABIE,LAS,, 19.80, 15.24
100,AB,4,ABIE,LAS,, 19.90, 15.27
101,AB,4,ABIE,LAS,, 20.00, 15.30
102,AB,4,ABIE,LAS,, 20.10, 15.33
103,AB,4,ABIE,LAS,, 20.20, 15.36
104,AB,4,ABIE,LAS,, 20.30, 15.39
105,AB,4,ABIE,LAS,, 20.40, 15.42
106,AB,4,ABIE,LAS,, 20.50, 15.44
107,AB,4,ABIE,LAS,, 20.60, 15.47
108,AB,4,ABIE,LAS,, 20.70, 15.50
109,AB,4,ABIE,LAS,, 20.80, 15.53
110,AB,4,ABIE,LAS,, 20.90, 15.56
111,AB,4,ABIE,LAS,, 21.00, 15.59
112,AB,4,ABIE,LAS,, 21.10, 15.62
113,AB,4,ABIE,LAS,, 21.20, 15.64
114,AB,4,ABIE,LAS,, 21.30, 15.67
115,AB,4,ABIE,LAS,, 21.40, 15.70
116,AB,4,ABIE,LAS,, 21.50, 15.73
117,AB,4,ABIE,LAS,, 21.60, 15.76
118,AB,4,ABIE,LAS,, 21.70, 15.78
119,AB,4,ABIE,LAS,, 21.80, 15.81
120,AB,4,ABIE,LAS,, 21.90, 15.84
121,AB,4,ABIE,LAS,, 22.00, 15.87
122,AB,4,ABIE,LAS,, 22.10, 15.89
123,AB,4,ABIE,LAS,, 22.20, 15.92
124,AB,4,ABIE,LAS,, 22.30, 15.95
125,AB,4,ABIE,LAS,, 22.40, 15.98
126,AB,4,ABIE,LAS,, 22.50, 16.00
127,AB,4,ABIE,LAS,, 22.60, 16.03
128,AB,4,ABIE,LAS,, 22.70, 16.06
129,AB,4,ABIE,LAS,, 22.80, 16.09
130,AB,4,ABIE,LAS,, 22.90, 16.11
131,AB,4,ABIE,LAS,, 23.00, 16.14
132,AB,4,ABIE,LAS,, 23.10, 16.17
133,AB,4,ABIE,LAS,, 23.20, 16.19
134,AB,4,ABIE,LAS,, 23.30, 16.22
135,AB,4,ABIE,LAS,, 23.40, 16.25
136,AB,4,ABIE,LAS,, 23.50, 16.27
137,AB,4,ABIE,LAS,, 23.60, 16.30
138,AB,4,ABIE,LAS,, 23.70, 16.33
139,AB,4,ABIE,LAS,, 23.80, 16.35
140,AB,4,ABIE,LAS,, 23.90, 16.38
141,AB,4,ABIE,LAS,, 24.00, 16.40
142,AB,4,ABIE,LAS,, 24.10, 16.43
143,AB,4,ABIE,LAS,, 24.20, 16.46
144,AB,4,ABIE,LAS,, 24.30, 16.48
145,AB,4,ABIE,LAS,, 24.40, 16.51
146,AB,4,ABIE,LAS,, 24.50, 16.53
147,AB,4,ABIE,LAS,, 24.60, 16.56
148,AB,4,ABIE,LAS,, 24.70, 16.59
149,AB,4,ABIE,LAS,, 24.80, 16.61
150,AB,4,ABIE,LAS,, 24.90, 16.64
151,AB,4,ABIE,LAS,, 25.00, 16.66
152,AB,4,ABIE,LAS,, 25.10, 16.69
153,AB,4,ABIE,LAS,, 25.20, 16.71
154,AB,4,ABIE,LAS,, 25.30, 16.74
155,AB,4,ABIE,LAS,, 25.40, 16.76
156,AB,4,ABIE,LAS,, 25.50, 16.79
157,AB,4,ABIE,LAS,, 25.60, 16.81
158,AB,4,ABIE,LAS,, 25.70, 16.84
159,AB,4,ABIE,LAS,, 25.80, 16.86
160,AB,4,ABIE,LAS,, 25.90, 16.89
161,AB,4,ABIE,LAS,, 26.00, 16.91
162,AB,4,ABIE,LAS,, 26.10, 16.94
163,AB,4,ABIE,LAS,, 26.20, 16.96
164,AB,4,ABIE,LAS,, 26.30, 16.99
165,AB,4,ABIE,LAS,, 26.40, 17.01
166,AB,4,ABIE,LAS,, 26.50, 17.04
167,AB,4,ABIE,LAS,, 26.60, 17.06
