Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height
99,AB,9,PICE,MAR,,22.6,25.2
99,AB,9,PICE,GLA,,22.6,20.5
99,AB,9,PINU,CON,LAT,20.4,24.9
99,AB,14,PINU,CON,LAT,20.4,24.9
99,AB,14,PICE,MAR,,22.6,25.2
99,AB,9,PICE,GLA,,23.8,20.9
99,AB,9,PICE,MAR,,23.9,25.4
99,AB,9,PINU,CON,LAT,21.7,25.2
99,AB,9,ABIE,BAL,,24.2,22.5
99,AB,9,PICE,GLA,,26.5,21.8
99,AB,9,PICE,MAR,,26.9,25.8
99,AB,9,PINU,CON,LAT,24.1,25.9
99,AB,14,PINU,CON,LAT,24.1,25.9
99,AB,9,PICE,GLA,,22.5,20.4
99,AB,4,PICE,GLA,,22.5,20.4
99,AB,14,PICE,ENG,,23.3,19
99,AB,10,PICE,GLA,,22.5,20.4
99,AB,14,PICE,GLA,,22.5,20.4
99,AB,10,PINU,CON,LAT,20.4,24.9
99,AB,9,PICE,MAR,,17.5,24.2
99,AB,14,PICE,MAR,,17.5,24.2
99,AB,9,PINU,CON,LAT,15.9,23.4
99,AB,14,PINU,CON,LAT,15.9,23.4
99,AB,9,PICE,GLA,,19.9,19.4
99,AB,4,PICE,GLA,,19.9,19.4
99,AB,9,PICE,ENG,,23.3,19
99,AB,9,PICE,GLA,,27.6,22.2
99,AB,9,PICE,MAR,,27.9,26
99,AB,9,PICE,GLA,,26.9,22
99,AB,4,PICE,GLA,,26.9,22
99,AB,9,PICE,MAR,,27.1,25.9
99,AB,9,PINU,CON,LAT,24.5,26
99,AB,9,ABIE,BAL,,22.8,22.2
99,AB,14,PINU,CON,LAT,20.2,24.8
99,AB,9,PINU,CON,LAT,20.2,24.8
99,AB,9,PICE,GLA,,22.3,20.3
99,AB,14,PICE,ENG,,23.1,18.8
99,AB,10,PICE,GLA,,22.3,20.3
99,AB,14,PICE,GLA,,22.3,20.3
99,AB,10,PINU,CON,LAT,20.2,24.8
99,AB,9,PICE,GLA,,25.8,21.6
