Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,stem_wood,stem_bark,branches,foliage
1,AB,4,ABIE,LAS,,15,13.71,41,7,9,7
2,AB,4,ABIE,LAS,,15.5,13.88,44,8,9,7
3,AB,4,ABIE,LAS,,16,14.05,47,8,10,8
4,AB,4,ABIE,LAS,,16.5,14.22,50,9,11,9
5,AB,4,ABIE,LAS,,17,14.38,53,9,13,9
6,AB,4,ABIE,LAS,,17.5,14.54,56,10,14,10
7,AB,4,ABIE,LAS,,18,14.7,60,10,15,11
8,AB,4,ABIE,LAS,,18.5,14.85,63,11,16,11
9,AB,4,ABIE,LAS,,19,15,67,12,18,12
10,AB,4,ABIE,LAS,,19.5,15.15,71,12,19,13
11,AB,4,ABIE,LAS,,20,15.3,75,13,21,14
12,AB,4,ABIE,LAS,,20.5,15.44,79,14,22,15
13,AB,4,ABIE,LAS,,21,15.59,83,15,24,16
14,AB,4,ABIE,LAS,,21.5,15.73,87,15,26,17
15,AB,4,ABIE,LAS,,22,15.87,91,16,28,18
16,AB,4,ABIE,LAS,,22.5,16,95,17,30,19
17,AB,4,ABIE,LAS,,23,16.14,100,18,32,20
18,AB,4,ABIE,LAS,,23.5,16.27,105,19,34,21
19,AB,4,ABIE,LAS,,24,16.4,109,19,36,22
20,AB,4,ABIE,LAS,,24.5,16.53,114,20,38,23
21,AB,4,ABIE,LAS,,25,16.66,119,21,41,24
22,AB,4,ABIE,LAS,,25.5,16.79,124,22,43,26
23,AB,4,ABIE,LAS,,26,16.91,129,23,46,27
24,AB,4,ABIE,LAS,,26.5,17.04,135,24,49,28
25,AB,4,ABIE,LAS,,27,17.16,140,25,52,30
26,AB,4,ABIE,LAS,,27.5,17.28,145,26,55,31
27,AB,4,ABIE,LAS,,28,17.4,151,27,58,33
28,AB,4,ABIE,LAS,,28.5,17.52,157,28,61,34
29,AB,4,ABIE,LAS,,29,17.63,162,29,64,36
30,AB,4,ABIE,LAS,,29.5,17.75,168,30,68,37
31,AB,4,ABIE,LAS,,30,17.86,174,31,71,39
94,AB,9,ABIE,LAS,,15,13.71,41,7,9,7
95,AB,9,ABIE,LAS,,15.5,13.88,44,8,9,7
96,AB,9,ABIE,LAS,,16,14.05,47,8,10,8
97,AB,9,ABIE,LAS,,16.5,14.22,50,9,11,9
98,AB,9,ABIE,LAS,,17,14.38,53,9,13,9
99,AB,9,ABIE,LAS,,17.5,14.54,56,10,14,10
100,AB,9,ABIE,LAS,,18,14.7,60,10,15,11
101,AB,9,ABIE,LAS,,18.5,14.85,63,11,16,11
102,AB,9,ABIE,LAS,,19,15,67,12,18,12
103,AB,9,ABIE,LAS,,19.5,15.15,71,12,19,13
104,AB,9,ABIE,LAS,,20,15.3,75,13,21,14
105,AB,9,ABIE,LAS,,20.5,15.44,79,14,22,15
106,AB,9,ABIE,LAS,,21,15.59,83,15,24,16
107,AB,9,ABIE,LAS,,21.5,15.73,87,15,26,17
108,AB,9,ABIE,LAS,,22,15.87,91,16,28,18
109,AB,9,ABIE,LAS,,22.5,16,95,17,30,19
110,AB,9,ABIE,LAS,,23,16.14,100,18,32,20
111,AB,9,ABIE,LAS,,23.5,16.27,105,19,34,21
112,AB,9,ABIE,LAS,,24,16.4,109,19,36,22
113,AB,9,ABIE,LAS,,24.5,16.53,114,20,38,23
114,AB,9,ABIE,LAS,,25,16.66,119,21,41,24
115,AB,9,ABIE,LAS,,25.5,16.79,124,22,43,26
116,AB,9,ABIE,LAS,,26,16.91,129,23,46,27
117,AB,9,ABIE,LAS,,26.5,17.04,135,24,49,28
118,AB,9,ABIE,LAS,,27,17.16,140,25,52,30
119,AB,9,ABIE,LAS,,27.5,17.28,145,26,55,31
120,AB,9,ABIE,LAS,,28,17.4,151,27,58,33
121,AB,9,ABIE,LAS,,28.5,17.52,157,28,61,34
122,AB,9,ABIE,LAS,,29,17.63,162,29,64,36
123,AB,9,ABIE,LAS,,29.5,17.75,168,30,68,37
124,AB,9,ABIE,LAS,,30,17.86,174,31,71,39
156,AB,14,ABIE,LAS,,15,13.71,41,7,9,7
157,AB,14,ABIE,LAS,,15.5,13.88,44,8,9,7
158,AB,14,ABIE,LAS,,16,14.05,47,8,10,8
159,AB,14,ABIE,LAS,,16.5,14.22,50,9,11,9
160,AB,14,ABIE,LAS,,17,14.38,53,9,13,9
161,AB,14,ABIE,LAS,,17.5,14.54,56,10,14,10
162,AB,14,ABIE,LAS,,18,14.7,60,10,15,11
163,AB,14,ABIE,LAS,,18.5,14.85,63,11,16,11
164,AB,14,ABIE,LAS,,19,15,67,12,18,12
165,AB,14,ABIE,LAS,,19.5,15.15,71,12,19,13
166,AB,14,ABIE,LAS,,20,15.3,75,13,21,14
167,AB,14,ABIE,LAS,,20.5,15.44,79,14,22,15
168,AB,14,ABIE,LAS,,21,15.59,83,15,24,16
169,AB,14,ABIE,LAS,,21.5,15.73,87,15,26,17
170,AB,14,ABIE,LAS,,22,15.87,91,16,28,18
171,AB,14,ABIE,LAS,,22.5,16,95,17,30,19
