Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,stem_wood,stem_bark,branches,foliage
51,AB,4,ABIE,LAS,,15,13.71,41,7,9,7
52,AB,4,ABIE,LAS,,15.1,13.74,41,7,9,7
53,AB,4,ABIE,LAS,,15.2,13.78,42,7,9,7
54,AB,4,ABIE,LAS,,15.3,13.81,43,7,9,7
55,AB,4,ABIE,LAS,,15.4,13.85,43,7,9,7
56,AB,4,ABIE,LAS,,15.5,13.88,44,8,9,7
57,AB,4,ABIE,LAS,,15.6,13.91,44,8,10,7
58,AB,4,ABIE,LAS,,15.7,13.95,45,8,10,8
59,AB,4,ABIE,LAS,,15.8,13.98,46,8,10,8
60,AB,4,ABIE,LAS,,15.9,14.02,46,8,10,8
61,AB,4,ABIE,LAS,,16,14.05,47,8,10,8
62,AB,4,ABIE,LAS,,16.1,14.08,47,8,11,8
63,AB,4,ABIE,LAS,,16.2,14.12,48,8,11,8
64,AB,4,ABIE,LAS,,16.3,14.15,49,8,11,8
65,AB,4,ABIE,LAS,,16.4,14.18,49,9,11,8
66,AB,4,ABIE,LAS,,16.5,14.22,50,9,11,9
67,AB,4,ABIE,LAS,,16.6,14.25,51,9,12,9
68,AB,4,ABIE,LAS,,16.7,14.28,51,9,12,9
69,AB,4,ABIE,LAS,,16.8,14.31,52,9,12,9
70,AB,4,ABIE,LAS,,16.9,14.35,52,9,12,9
71,AB,4,ABIE,LAS,,17,14.38,53,9,13,9
72,AB,4,ABIE,LAS,,17.1,14.41,54,9,13,9
73,AB,4,ABIE,LAS,,17.2,14.44,54,9,13,10
74,AB,4,ABIE,LAS,,17.3,14.47,55,10,13,10
75,AB,4,ABIE,LAS,,17.4,14.51,56,10,13,10
76,AB,4,ABIE,LAS,,17.5,14.54,56,10,14,10
77,AB,4,ABIE,LAS,,17.6,14.57,57,10,14,10
78,AB,4,ABIE,LAS,,17.7,14.6,58,10,14,10
79,AB,4,ABIE,LAS,,17.8,14.63,58,10,14,10
80,AB,4,ABIE,LAS,,17.9,14.66,59,10,15,11
81,AB,4,ABIE,LAS,,18,14.7,60,10,15,11
82,AB,4,ABIE,LAS,,18.1,14.73,61,11,15,11
83,AB,4,ABIE,LAS,,18.2,14.76,61,11,15,11
84,AB,4,ABIE,LAS,,18.3,14.79,62,11,16,11
85,AB,4,ABIE,LAS,,18.4,14.82,63,11,16,11
86,AB,4,ABIE,LAS,,18.5,14.85,63,11,16,11
87,AB,4,ABIE,LAS,,18.6,14.88,64,11,16,12
88,AB,4,ABIE,LAS,,18.7,14.91,65,11,17,12
89,AB,4,ABIE,LAS,,18.8,14.94,66,11,17,12
90,AB,4,ABIE,LAS,,18.9,14.97,66,12,17,12
91,AB,4,ABIE,LAS,,19,15,67,12,18,12
92,AB,4,ABIE,LAS,,19.1,15.03,68,12,18,12
93,AB,4,ABIE,LAS,,19.2,15.06,68,12,18,13
94,AB,4,ABIE,LAS,,19.3,15.09,69,12,18,13
95,AB,4,ABIE,LAS,,19.4,15.12,70,12,19,13
96,AB,4,ABIE,LAS,,19.5,15.15,71,12,19,13
97,AB,4,ABIE,LAS,,19.6,15.18,72,13,19,13
98,AB,4,ABIE,LAS,,19.7,15.21,72,13,20,13
99,AB,4,ABIE,LAS,,19.8,15.24,73,13,20,14
100,AB,4,ABIE,LAS,,19.9,15.27,74,13,20,14
101,AB,4,ABIE,LAS,,20,15.3,75,13,21,14
102,AB,4,ABIE,LAS,,20.1,15.33,75,13,21,14
103,AB,4,ABIE,LAS,,20.2,15.36,76,13,21,14
104,AB,4,ABIE,LAS,,20.3,15.39,77,14,22,14
