"TRM","location","cycleTime","year","residue.cumsum"
53175,"Edson",1.29674978888889,1990,30.5677006758867
53165,"Edson",1.452883225,1990,33.0217176140978
54165,"Edson",1.60522655555556,1990,352.734627661471
54175,"Edson",1.64555383333333,1990,441.90418153956
53185,"Edson",1.64770908333333,1990,1192.0690528245
53155,"Edson",1.72270872222222,1990,1313.08300826405
52185,"Edson",1.87675836111111,1990,2354.70333778919
54155,"Edson",1.90938433333333,1990,2357.37886998076
53195,"Edson",1.91651097222222,1990,2390.21497182687
55165,"Edson",1.96117177777778,1990,2394.04430603386
54185,"Edson",2.10185888888889,1990,2932.44871188196
53135,"Edson",2.1546875,1990,2934.92203071362
55185,"Edson",2.21412869444444,1990,2969.68920255987
52155,"Edson",2.21993388888889,1990,3525.29320028113
51195,"Edson",2.24808655555556,1990,3636.60190005422
56165,"Edson",2.26554127777778,1990,3655.74427328322
55145,"Edson",2.27387038888889,1990,3668.01319354079
52175,"Edson",2.346882,1990,3675.76952751092
55175,"Edson",2.37952955555556,1990,4172.57995459786
53215,"Edson",2.45936988888889,1990,4322.49184309835
53125,"Edson",2.46595558333333,1990,4344.46628717508
56145,"Edson",2.50384111111111,1990,4481.7804305762
56155,"Edson",2.53737136111111,1990,5431.25963335386
55135,"Edson",2.63112588888889,1990,5433.62864708009
53115,"Edson",2.66127538888889,1990,5532.5131696741
55195,"Edson",2.70302672222222,1990,5685.23221799725
50205,"Edson",2.70366794444444,1990,7208.44504673282
54115,"Edson",2.75137736111111,1990,7347.42258348163
56195,"Edson",2.77635561111111,1990,9400.02824646117
51155,"Edson",2.79928472222222,1990,15535.7349638125
56185,"Edson",2.80651036111111,1990,15573.4969556104
53105,"Edson",2.847145,1990,15575.9066448229
54195,"Edson",2.85812733333333,1990,15597.8848732693
55125,"Edson",2.87577772222222,1990,15796.125787597
56135,"Edson",2.87796363888889,1990,15857.7948797498
57165,"Edson",2.931452,1990,15890.749111533
56175,"Edson",2.94458194444444,1990,15932.1930408553
49215,"Edson",2.95093727777778,1990,24509.849063906
53225,"Edson",3.00292305555556,1990,24535.306182072
57145,"Edson",3.03399188888889,1990,24590.4283147401
53095,"Edson",3.050057,1990,24610.3328610455
51135,"Edson",3.05016838888889,1990,28720.0297438093
57135,"Edson",3.08847713888889,1990,28729.6753606254
54205,"Edson",3.09906377777778,1990,28815.7642395328
55205,"Edson",3.10086019444444,1990,31371.6987522332
52205,"Edson",3.11137888888889,1990,31442.8867492348
50215,"Edson",3.14529263888889,1990,42371.4609151075
57175,"Edson",3.18215891666667,1990,42565.6901070453
56125,"Edson",3.23449333333333,1990,42781.447688477
58135,"Edson",3.23570661111111,1990,44186.3742099255
49155,"Edson",3.26714861111111,1990,44293.6222171533
52105,"Edson",3.28663666666667,1990,44295.5808536055
52225,"Edson",3.28729466666667,1990,44306.3455269896
51175,"Edson",3.28995563888889,1990,44330.0812816849
57195,"Edson",3.30253594444444,1990,45979.0104219189
54095,"Edson",3.30479783333333,1990,45997.8497416977
53085,"Edson",3.30610438888889,1990,46012.1672785945
53235,"Edson",3.32323888888889,1990,46118.5257830824
56205,"Edson",3.41454733333333,1990,46334.0615871498
52125,"Edson",3.42749677777778,1990,48057.1878720932
56115,"Edson",3.42981772222222,1990,48864.6205216589
48225,"Edson",3.468643,1990,50088.0913832544
57155,"Edson",3.46932766666667,1990,50294.1301698141
52115,"Edson",3.50757080555556,1990,50745.9972300686
53075,"Edson",3.50764761111111,1990,50776.1031408191
51255,"Edson",3.52776238888889,1990,51121.0190647606
55215,"Edson",3.55459347222222,1990,51222.5139028057
58145,"Edson",3.56469122222222,1990,55837.5737665218
51105,"Edson",3.57561905555556,1990,56635.8968446932
59125,"Edson",3.58323761111111,1990,56911.6030377894
54225,"Edson",3.64261877777778,1990,57319.4504346428
53245,"Edson",3.6725595,1990,57549.71590279
59115,"Edson",3.71516894444444,1990,57583.4050308641
59135,"Edson",3.72011072222222,1990,57617.108707256
51245,"Edson",3.78874152777778,1990,57705.3875139667
50225,"Edson",3.81471005555556,1990,64521.2678933136
52075,"Edson",3.83625666666667,1990,64569.5042307117
50105,"Edson",3.85152425,1990,64639.7169442005
57125,"Edson",3.85497988888889,1990,65092.0756694397
57105,"Edson",3.85958038888889,1990,65115.4850305704
52215,"Edson",3.87397416666667,1990,65124.9628917329
58195,"Edson",3.87832677777778,1990,65339.6528336923
57115,"Edson",3.8892965,1990,67348.2278769114
52085,"Edson",3.90381805555556,1990,67359.2207506198
55095,"Edson",3.91367422222222,1990,67372.2779102526
60125,"Edson",3.96041833333333,1990,67597.2174535253
51165,"Edson",3.961169,1990,68173.3933832215
54245,"Edson",3.99102133333333,1990,69071.9476084424
60135,"Edson",4.00217461111111,1990,69171.4375329819
56105,"Edson",4.01028363888889,1990,69174.1945467161
55105,"Edson",4.03498288888889,1990,69210.6622889798
48145,"Edson",4.04926116666667,1990,69283.2253785327
53255,"Edson",4.05056425,1990,70029.8585776092
58175,"Edson",4.05519908333333,1990,70132.6272765123
47195,"Edson",4.05542372222222,1990,70143.2373233751
46195,"Edson",4.08419861111111,1990,70181.8005596782
51075,"Edson",4.08436208333333,1990,70314.1351422831
50175,"Edson",4.08612333333333,1990,70425.987977778
54065,"Edson",4.08815508333333,1990,70622.2590957213
59105,"Edson",4.09164916666667,1990,71066.3227865845
58105,"Edson",4.12635372222222,1990,71846.4742771621
52095,"Edson",4.1281565,1990,71898.6719062408
58185,"Edson",4.16046602777778,1990,72079.8950958205
51115,"Edson",4.19310988888889,1990,72092.3015855639
54235,"Edson",4.22135438888889,1990,72292.1752435609
54055,"Edson",4.22531044444444,1990,72294.476036804
48135,"Edson",4.26083144444445,1990,77270.5863630437
57095,"Edson",4.26968525,1990,77402.7962304336
50135,"Edson",4.27137269444444,1990,78237.5339821499
53045,"Edson",4.27252794444444,1990,78249.9780938034
56095,"Edson",4.27866430555556,1990,78252.6082560823
52065,"Edson",4.30499755555556,1990,78262.0287210247
48245,"Edson",4.30846811111111,1990,78588.3375445456
46185,"Edson",4.31298577777778,1990,79557.0454207719
55075,"Edson",4.31686205555556,1990,79655.0586809414
58125,"Edson",4.32843808333333,1990,79657.8653753798
60145,"Edson",4.33045138888889,1990,79660.044086485
58115,"Edson",4.34265061111111,1990,79667.3693641346
62125,"Edson",4.37319791666667,1990,87841.6477816451
53265,"Edson",4.37699644444444,1990,90371.9883940601
50115,"Edson",4.37845422222222,1990,91138.3257946625
58095,"Edson",4.38073663888889,1990,91189.3189099938
52055,"Edson",4.39888886111111,1990,91667.5608090812
49075,"Edson",4.42276325,1990,91674.2354278248
54045,"Edson",4.43489738888889,1990,91769.6445694327
51065,"Edson",4.46328466666667,1990,91805.5686626429
47245,"Edson",4.46402116666667,1990,93730.4760979458
55065,"Edson",4.46512175,1990,93743.270531371
48105,"Edson",4.46716238888889,1990,93802.7888965013
45185,"Edson",4.49072583333333,1990,93838.68675992
58085,"Edson",4.49278866666667,1990,94085.6684227283
51085,"Edson",4.49674077777778,1990,94090.6016150683
61155,"Edson",4.50530747222222,1990,94095.0772191322
49095,"Edson",4.51330205555556,1990,94253.2040466908
54255,"Edson",4.52635216666667,1990,94643.4266821918
51125,"Edson",4.55336966666667,1990,95434.6210175614
60105,"Edson",4.55414622222222,1990,95549.3725857356
62115,"Edson",4.55802225,1990,102784.36908865
50085,"Edson",4.55885047222222,1990,102810.614139956
51095,"Edson",4.59121386111111,1990,102824.747773344
60155,"Edson",4.60845377777778,1990,102826.945363515
56075,"Edson",4.61512927777778,1990,102941.89943948
54265,"Edson",4.62081769444444,1990,103033.939035755
50065,"Edson",4.62133416666667,1990,103174.656148371
50095,"Edson",4.65197477777778,1990,103185.014088376
63115,"Edson",4.66202527777778,1990,106331.095607651
59155,"Edson",4.66918802777778,1990,106564.846345401
47145,"Edson",4.67490288888889,1990,106782.677844376
61115,"Edson",4.70182388888889,1990,106787.569315198
61135,"Edson",4.70611572222222,1990,107099.053233041
54035,"Edson",4.70664833333333,1990,107124.429783371
58205,"Edson",4.71798430555556,1990,107134.349217873
50125,"Edson",4.71837738888889,1990,111984.54749417
62155,"Edson",4.73233994444444,1990,111991.396481239
47135,"Edson",4.74963675,1990,112487.548738687
56215,"Edson",4.77700430555556,1990,112613.035482572
55245,"Edson",4.78211383333333,1990,119814.979349954
48085,"Edson",4.79635611111111,1990,119819.570007223
47105,"Edson",4.8006075,1990,121731.770469041
63125,"Edson",4.80655111111111,1990,122447.342231326
48165,"Edson",4.82158883333333,1990,122449.384282492
59095,"Edson",4.82174344444444,1990,122681.733133958
55055,"Edson",4.84945075,1990,122685.884211087
59185,"Edson",4.85657788888889,1990,126490.614446444
49065,"Edson",4.86965177777778,1990,126505.944305648
45175,"Edson",4.91247655555556,1990,126658.451386296
55225,"Edson",4.9642585,1990,127604.920023388
61165,"Edson",4.98666777777778,1990,128887.018646828
56055,"Edson",4.989541,1990,128993.667183488
63105,"Edson",5.00221830555556,1990,130215.328229057
55255,"Edson",5.01205277777778,1990,130226.98574384
64105,"Edson",5.01774516666667,1990,130358.937698357
47095,"Edson",5.02422580555556,1990,130679.579086162
55035,"Edson",5.03726225,1990,130798.04557116
46175,"Edson",5.04058222222222,1990,130849.649593567
49125,"Edson",5.08949605555556,1990,130867.135638762
54026,"Edson",5.09552561111111,1990,132330.829002629
59175,"Edson",5.09825130555556,1990,133432.094624843
55235,"Edson",5.11256097222222,1990,156352.351733031
46145,"Edson",5.11600027777778,1990,156498.287610375
49175,"Edson",5.11852622222222,1990,156553.015622249
53274,"Edson",5.14277805555556,1990,156555.035752836
61175,"Edson",5.15436883333333,1990,156566.273669666
45016,"Edson",5.16487577777778,1990,156987.360118742
64115,"Edson",5.168379,1990,157214.855703576
47115,"Edson",5.18907427777778,1990,157605.770475543
54015,"Edson",5.2041585,1990,157625.94001809
60185,"Edson",5.209129,1990,157772.891926054
61085,"Edson",5.24068591666667,1990,157848.414902604
45255,"Edson",5.26766127777778,1990,157850.408203299
58215,"Edson",5.27179377777778,1990,157918.586008908
47065,"Edson",5.28696647222222,1990,157920.681599593
59085,"Edson",5.30814566666667,1990,157989.657820509
64125,"Edson",5.31342261111111,1990,157998.990058097
63145,"Edson",5.32664875,1990,159302.407284814
46155,"Edson",5.33672161111111,1990,159520.005392918
62145,"Edson",5.33826797222222,1990,159522.192194739
45026,"Edson",5.33977666666667,1990,159596.152621701
47075,"Edson",5.36858541666667,1990,159750.318932513
52016,"Edson",5.37122688888889,1990,159752.770739039
62135,"Edson",5.37345138888889,1990,180760.020178554
46135,"Edson",5.37393861111111,1990,182431.870703995
57215,"Edson",5.38635194444444,1990,186148.071757752
48055,"Edson",5.40905883333333,1990,186150.392004014
47125,"Edson",5.41035861111111,1990,186163.137360333
54274,"Edson",5.41693402777778,1990,186190.318922945
66105,"Edson",5.426159,1990,186678.534808924
63135,"Edson",5.42824975,1990,186733.865305161
55015,"Edson",5.44087766666667,1990,186797.863102429
59195,"Edson",5.44136511111111,1990,186977.887332694
62105,"Edson",5.44817183333333,1990,187726.771061105
65105,"Edson",5.4534165,1990,187758.68966849
48175,"Edson",5.48038155555556,1990,188325.096782229
48045,"Edson",5.50409361111111,1990,188327.466323573
64135,"Edson",5.50855191666667,1990,188496.27619291
62195,"Edson",5.51717372222222,1990,188512.517601864
56235,"Edson",5.52969225,1990,188614.382057548
65095,"Edson",5.56157186111111,1990,188692.110209357
46105,"Edson",5.56459077777778,1990,191581.596955622
59075,"Edson",5.60286872222222,1990,191603.417269943
47085,"Edson",5.61170933333333,1990,191623.296574219
62075,"Edson",5.63096172222222,1990,191747.836701101
59215,"Edson",5.64900625,1990,193123.661294547
63155,"Edson",5.66124272222222,1990,193153.702236509
59045,"Edson",5.6706015,1990,193193.433572592
65125,"Edson",5.67078933333333,1990,194205.763724242
47155,"Edson",5.69740444444444,1990,194274.794529362
60195,"Edson",5.70808536111111,1990,194451.577236479
46125,"Edson",5.73154622222222,1990,196311.478185281
47055,"Edson",5.73399602777778,1990,196426.692478867
58225,"Edson",5.74058094444444,1990,196443.51984342
61195,"Edson",5.75120394444444,1990,204028.32617857
67095,"Edson",5.75294916666667,1990,206424.160081218
62205,"Edson",5.75766977777778,1990,206546.595671192
56025,"Edson",5.75840094444444,1990,206548.774040379
56046,"Edson",5.76707738888889,1990,206978.063993605
57255,"Edson",5.77857730555556,1990,206992.651659537
64145,"Edson",5.78319866666667,1990,209002.829677272
59205,"Edson",5.7989385,1990,209083.817213931
47045,"Edson",5.80145352777778,1990,209110.970824604
60175,"Edson",5.8082125,1990,209299.532756503
60055,"Edson",5.80847363888889,1990,209417.951558216
43165,"Edson",5.81208825,1990,209424.085763004
46046,"Edson",5.81278505555556,1990,209437.939418912
56015,"Edson",5.824163,1990,209645.403181031
45065,"Edson",5.82734644444444,1990,209651.400788023
50025,"Edson",5.83453386111111,1990,209801.783742356
62085,"Edson",5.84459455555556,1990,209963.423522546
62065,"Edson",5.84790408333333,1990,210012.123144379
44036,"Edson",5.85336094444444,1990,210020.708354213
45075,"Edson",5.85422477777778,1990,210223.862029685
57235,"Edson",5.86037655555555,1990,212763.179247623
60065,"Edson",5.86908883333333,1990,212769.080887506
66115,"Edson",5.89231511111111,1990,223075.917303085
59225,"Edson",5.91271094444444,1990,224445.34172347
63205,"Edson",5.92413133333333,1990,224513.284625579
47035,"Edson",6.01807997222222,1990,224562.32558175
47165,"Edson",6.02988311111111,1990,224840.04301047
65135,"Edson",6.03740272222222,1990,226461.490543953
66125,"Edson",6.04348933333333,1990,236666.8773264
63095,"Edson",6.05163966666667,1990,236669.1562226
67105,"Edson",6.08557380555556,1990,236802.613012362
63195,"Edson",6.10270883333333,1990,236804.602637783
42165,"Edson",6.10791486111111,1990,237629.865418869
60085,"Edson",6.12185669444444,1990,237707.60736032
44115,"Edson",6.1256965,1990,238050.564909882
61055,"Edson",6.13592277777778,1990,238211.686036298
68095,"Edson",6.14507411111111,1990,252583.886643139
57015,"Edson",6.16217955555556,1990,252895.452103965
57056,"Edson",6.168942,1990,253632.542776748
58235,"Edson",6.18526722222222,1990,254846.224433136
67085,"Edson",6.1885125,1990,257678.474005128
58245,"Edson",6.193374,1990,257747.733700203
57245,"Edson",6.214037,1990,258043.107244421
56225,"Edson",6.21846391666667,1990,258476.91835547
45135,"Edson",6.23056222222222,1990,259297.349085121
62095,"Edson",6.25731475,1990,259451.913854377
59235,"Edson",6.27780647222222,1990,260883.27991802
58025,"Edson",6.29640161111111,1990,260885.504099036
65085,"Edson",6.33265811111111,1990,260890.676062934
65145,"Edson",6.33387383333333,1990,264979.072331579
