TRM,edson_median,hinton_median,whitecourt_median
"001014",38380.641,39597.2095,
"001015",30468.9455,32167.208,30578.176
"001024",36966.304,39313.737,35959.5995
"001025",30300.141,31976.07,30383.846
"001034",37624.3045,39569.95,35964.7785
"001044",39314.228,39542.244,35971.4155
"001054",39522.7565,39494.7295,35978.048
"001064",39183.5465,39449.923,35983.4455
"001074",38823.8035,39407.777,35988.1625
"001084",37351.784,39252.1485,35991.181
"001094",36529.829,38418.527,35993.751
"001104",35828.3275,37716.674,35907.3425
"001114",35256.038,37141.37,35363.817
"001124",34500.31,36386.9385,34609.126
"001134",33940.456,35827.867,34051.361
"001144",33482.516,35370.906,33593.667
"001154",32807.7825,34696.379,32918.501
"001164",32910.115,34797.831,33020.638
"001174",33550.022,35434.6195,33656.946
"001184",33873.828,35759.099,33981.577
"001194",34612.061,36498.9745,34541.392
"001204",32265.951,34153.1105,32376.1165
"001214",31588.858,33475.595,31697.784
"001224",31237.177,33123.5755,31345.948
"001234",30689.8755,32577.004,30799.398
"001244",30139.2455,32027.1085,30249.699
"001254",30188.554,32075.174,30297.5905
"001264",30336.5825,32219.811,30442.842
"001274",31385.786,33270.686,31494.0265
"001284",30507.539,32234.553,30624.59
"001294",29976.185,31675.318,30086.319
"001304",29998.953,31696.862,30107.5955
"002014",37838.427,39588.2455,35954.6595
"002015",30978.868,32674.817,31084.9055
"002024",36628.349,39190.2445,35886.887
"002025",31099.208,32798.146,31208.397
"002034",37315.34,39553.893,35971.297
"002044",38764.613,39559.7295,35951.455
"002054",38285.3355,39559.409,35957.082
"002064",37819.015,39535.371,35986.113
"002074",37798.084,39489.3975,35994.0055
"002084",37421.2935,39172.092,35993.1155
"002094",36951.6705,38837.789,35998.148
"002104",35883.526,37770.559,35907.2025
"002114",35509.586,37396.251,35613.708
"002124",34146.4525,36035.245,34258.304
"002134",33635.9365,35522.0645,33744.749
"002144",33231.146,35119.204,33341.636
"002154",32558.3155,34444.527,32667.052
"002164",32044.504,33933.587,32156.19
"002174",32693.72,34580.328,32802.857
"002184",33467.9,35352.481,33575.1825
"002194",33751.752,35638.302,33860.91
"002204",32777.64,34664.501,32886.829
"002214",31779.73,33663.673,31887.088
"002224",31968.157,33854.342,32076.844
"002234",31185.367,33069.1185,31291.175
"002244",30090.92,31976.952,30199.5
"002254",29312.723,31200.3425,29422.787
"002264",29669.111,31556.212,29778.709
"002274",29869.1485,31755.8995,29978.377
"002284",30200.0925,31968.913,30308.588
"002294",29621.3505,31321.506,29732.7005
"002304",29885.803,31585.2505,29995.655
"003014",36811.05,39288.1755,35927.072
"003015",30836.602,32536.2275,30946.8155
"003024",35981.34,38529.471,35413.565
"003025",31031.7755,32728.156,31138.874
"003034",36669.217,39162.097,35885.569
"003035",30392.0735,32089.1615,30499.757
"003044",37374.169,39367.665,35924.466
"003045",,,
"003054",36570.107,39134.524,35905.997
"003064",36046.212,38574.014,35471.946
"003074",36256.9965,38535.507,35673.7865
"003084",36235.458,38124.635,35967.7
"003094",35679.4355,37566.7645,35750.844
"003104",35279.477,37166.939,35389.355
"003114",34567.447,36452.5725,34674.364
"003124",34280.114,36167.935,34390.791
"003134",33827.89,35713.331,33935.743
"003144",33146.565,35033.303,33255.9935
"003154",32777.212,34665.5945,32887.665
"003164",31881.357,33768.8785,31990.872
"003174",32062.7065,33948.3485,32170.16
"003184",32786.751,34671.5825,32895.251
"003194",33144.141,35032.66,33254.7595
"003204",32801.971,34686.6395,32908.878
"003214",31453.87,33337.172,31558.897
"003224",31376.269,33262.476,31485.181
"003234",30487.852,32372.2345,30596.652
"003244",29633.478,31517.23,29739.074
"003254",28859.004,30745.893,28968.6225
"003264",29299.983,31186.174,29408.6565
"003274",29810.937,31696.87,29919.409
"003284",30145.517,31972.645,30251.06
"003294",29223.332,30924.331,29334.6545
"003304",29916.81,31615.252,30026.283
"004014",37949.8325,39560.376,35939.958
"004015",29545.581,31243.837,29654.26
"004024",35819.684,38345.838,35254.463
"004025",29721.985,31419.4935,29830.512
"004034",36350.434,38649.3845,35350.337
"004035",29373.0615,31075.3465,29486.584
"004044",37047.366,39368.51,35949.0135
"004045",29219.919,30920.95,29331.674
"004054",35984.159,38545.724,35452.627
"004064",35521.649,38085.008,34993.8825
"004074",35908.066,38416.708,35355.279
"004084",36127.5245,38062.762,35876.954
"004094",35157.721,37043.761,35240.4255
"004104",34813.424,36699.0145,34921.429
"004114",34078.106,35966.568,34188.904
"004124",33871.21,35759.8015,33982.382
"004134",33356.865,35243.166,33465.745
"004144",32707.2975,34593.469,32815.988
"004154",32227.31,34113.885,32336.16
"004164",31820.634,33706.435,31928.263
"004174",31091.137,32977.607,31200.006
"004184",31419.944,33306.699,31529.216
"004194",31567.891,33452.877,31675.583
"004204",31180.447,33064.391,31287.219
"004214",30998.645,32883.5215,31107.2735
"004224",30546.151,32432.794,30655.006
"004234",29551.305,31439.39,29661.5015
"004244",29334.457,31221.846,29444.33
"004254",28483.536,30369.0505,28591.854
"004264",29172.258,31057.08,29279.6725
"004274",29152.9895,31041.018,29263.72
"004284",29308.618,31083.7405,29415.487
"004294",28746.026,30443.88,28854.2985
"004304",28912.692,30612.252,29023.218
"005014",36987.263,39497.91,35920.577
"005015",28710.195,30420.736,28829.215
"005024",35435.382,37998.585,34907.3085
"005025",28414.269,30110.468,28521.9285
"005034",35597.163,38122.1595,35012.543
"005035",28390.54,30089.038,28500.004
"005044",36829.85,39264.071,35792
"005045",28910.75,30612.145,29023.404
"005054",35516.2705,38079.9605,34988.725
"005055",29853.0675,31540.501,29962.077
"005064",34743.369,37307.441,34216.249
"005074",35205.316,37582.926,34690.7125
"005084",35168.874,37068.693,35123.009
"005094",34860.0495,36745.766,34917.252
"005104",34687.5805,36574.096,34796.5365
"005114",33704.3305,35589.825,33812.81
"005124",34121.688,36008.637,34229.921
"005134",33585.8315,35475.624,33698.736
"005144",32844.628,34730.5515,32952.8225
"005154",33172.294,35061.96,33283.704
"005164",32086.521,33973.056,32194.886
"005174",30822.648,32709.996,30932.505
"005184",30427.346,32314.796,30537.113
"005194",30646.003,32532.626,30755.074
"005204",30224.173,32109.9145,30333.116
"005214",30088.895,31974.73,30197.465
"005224",29794.732,31682.107,29904.545
"005234",29558.227,31447.5185,29669.763
"005244",28760.717,30649.183,28872.253
"005254",28103.787,29991.2995,28214.032
"005264",28390.58,30278.891,28501.4305
"005274",28432.756,30319.559,28542.233
"005284",28908.18,30792.549,29020.82
"005294",28760.522,30490.2165,28869.61
"005304",28111.764,29808.354,28219.076
"006014",36235.9675,38768.074,35505.084
"006015",27759.823,29458.219,27868.227
"006024",34641.198,37206.892,34115.817
"006025",27437.615,29135.925,27546.8325
"006034",35144.663,37707.0415,34616.069
"006035",27849.227,29548.204,27959.407
"006044",35553.269,38116.883,35025.446
"006045",28560.3535,30255.293,28666.572
"006054",34920.7895,37483.668,34392.239
"006055",29651.3035,31321.969,29759.749
"006064",34531.7935,37093.173,34002.178
"006074",34515.447,36805.1395,33991.863
"006084",34620.163,36511.392,34470.011
"006094",34130.88,36017.456,34132.876
"006104",33747.482,35634.673,33853.8935
"006114",33137.7915,35023.96,33201.755
"006124",32871.776,34759.82,32978.3715
"006134",32435.47,34321.243,32540.27
"006144",32068.119,33953.376,32176.09
"006154",31888.6125,33779.414,32002.1165
"006164",31420.207,33304.565,31527.57
"006174",30761.239,32648.5755,30871.017
"006184",30396.312,32281.37,30504.3005
"006194",29816.677,31704.515,29927.15
"006204",29698.036,31585.5795,29808.063
"006214",29374.4255,31260.365,29483.0965
"006224",30216.489,32103.981,30326.041
"006234",29641.483,31531.256,29753.0535
"006244",28357.92,30246.076,28468.46
"006254",27701.991,29587.6325,27809.7425
"006264",27745.344,29631.428,27854.573
"006274",28285.865,30171.344,28393.576
"006284",28092.358,29981.622,28204.266
"006294",27940.778,29685.542,28048.384
"006304",27570.521,29266.419,27676.5835
"007014",35179.81,37738.936,34648.0295
"007015",26945.9245,28642.9415,27053.845
"007024",34077.9505,36643.023,33551.566
"007025",26767.3625,28466.403,26877.1425
"007034",34369.5445,36931.2045,33840.2805
"007035",27128.458,28827.155,27238.025
"007044",35156.3665,37719.886,34628.497
"007045",27984.185,29682.1755,28093.0605
"007054",34571.8325,37136.019,34045.1825
"007055",28956.088,30537.715,29064.8855
"007064",34062.721,36625.441,33534.182
"007065",28754.5725,30221.584,28883.832
"007074",34464.8035,37020.597,33938.533
"007084",35251.6325,37569.822,34742.514
"007094",34432.042,36711.734,33916.461
"007104",34966.0165,37031.612,34575.782
"007114",33495.3,35614.303,33023.207
"007124",33861.766,35880.079,33523.25
"007134",32723.125,34614.506,32562.5405
"007144",32350.7595,34245.531,32141.826
"007154",32109.972,34036.3995,31900.328
"007164",31284.686,33172.073,31256.043
"007174",30779.08,32664.606,30785.207
"007184",30541.1885,32426.114,30648.148
"007194",29856.155,31745.963,29967.227
"007204",29255.406,31143.464,29365.521
"007214",29099.025,30986.436,29208.628
"007224",29189.351,31075.105,29297.837
"007234",28434.7985,30322.114,28544.779
"007244",27945.208,29831.301,28053.524
"007254",27314.458,29202.815,27425.5635
"007264",27209.8355,29097.611,27319.569
"007274",27598.3995,29485.038,27707.336
"007284",27611.777,29497.026,27720.4185
"007294",27833.07,29599.613,27945.526
"007304",27542.742,29238.949,27650.2315
"008014",34721.3495,37284.924,34193.8675
"008015",27200.886,28899.014,27309.631
"008024",33961.374,36526.802,33434.548
"008025",26384.604,28082.601,26493.072
"008034",33812.318,36377.098,33284.9
"008035",27465.827,29161.4155,27572.1665
"008044",34242.537,36802.302,33710.427
"008045",28156.918,29187.557,28268.753
"008054",34081.834,36643.802,33551.6935
"008055",28183.065,29648.092,28294.634
"008064",33494.928,36058.161,32966.8835
"008065",28673.911,30136.273,28791.564
"008074",33407.0995,35972.003,32881.803
"008084",34192.1435,36754.777,33663.252
"008094",33909.111,36466.7985,33376.551
"008104",34670.087,37233.933,34142.43
"008114",33099.022,35625.8655,32570.129
"008124",33318.543,35524.9995,32791.379
"008134",32425.619,34513.661,31901.409
"008144",32043.881,34158.352,31515.842
"008154",31753.869,33754.0855,31228.632
"008164",31113.623,33095.497,30585.193
"008174",31139.715,33088.807,30796.475
"008184",30689.597,32575.963,30798.6965
"008194",29731.535,31617.237,29838.649
"008204",28947.7445,30834.064,29057.225
"008214",28487.549,30373.483,28595.84
"008224",28626.293,30511.989,28734.371
"008234",28354.484,30240.0385,28462.536
"008244",27706.072,29591.369,27813.365
"008254",26921.808,28805.861,27027.479
"008264",26598.9125,28486.457,26707.303
"008274",26915.0505,28803.6275,27025.0725
"008284",28046.584,29934.923,28154.765
"008294",28366.2525,30165.992,28475.3585
"008304",28471.5825,30169.401,28579.5215
"009014",34390.065,36951.9,33861.482
"009015",27052.615,28751.3115,27160.9055
"009024",33887.943,36450.8265,33359.4755
"009025",26109.2755,27809.35,26219.966
"009034",33180.462,35745.0095,32653.923
"009035",27391.523,28728.941,27511.492
"009044",33690.333,36250.6985,33159.122
"009045",28466.931,28403.853,28575.2005
"009054",33216.912,35783.426,32691.978
"009055",28737.787,29695.5015,28837.8415
"009064",33099.9535,35664.401,32572.819
"009074",32799.747,35363.315,32272.737
"009084",33769.91,36335.82,33243.537
"009094",33462.072,36024.061,32933.447
"009104",33571.8845,36135.451,33044.734
"009114",32505.211,35054.475,31978.054
"009124",32685.807,34911.3145,32158.3375
"009134",32163.397,34382.826,31635.489
"009144",31639.7575,33859.076,31111.3495
"009154",31377.5,33587.3055,30848.7385
"009164",30492.606,32656.19,29966.73
"009174",30170.6455,32063.8935,30005.807
"009184",29767.864,31654.4065,29877.183
"009194",29312.2275,31199.508,29422.3805
"009204",28829.528,30717.632,28940.035
