TRM,edson_median,hinton_median,whitecourt_median
"001014",,,
"001015",28611.504,,28688.707
"001024",,,
"001025",28477.271,,
"001034",,,
"001044",,,
"001054",,,
"001064",,,
"001074",,,
"001084",,,
"001094",,,
"001104",,,
"001114",,,
"001124",,,
"001134",,,
"001144",,,
"001154",,,
"001164",,,
"001174",,,
"001184",,,
"001194",,,
"001204",,,
"001214",28779.814,,28793.592
"001224",28772.936,,28794.176
"001234",28696.976,,28762.758
"001244",28269.188,,28370.505
"001254",28349.828,,28452.92
"001264",28426.067,,28525.867
"001274",28686.7095,,28748.597
"001284",28590.7615,,28680.56
"001294",28261.217,,28354.682
"001304",28281.532,,28379.643
"002014",,,
"002015",28598.323,,28635.657
"002024",,,
"002025",28687.0405,,28584.556
"002034",,,
"002044",,,
"002054",,,
"002064",,,
"002074",,,
"002084",,,
"002094",,,
"002104",,,
"002114",,,
"002124",,,
"002134",,,
"002144",,,
"002154",,,
"002164",,,
"002174",,,
"002184",,,
"002194",,,
"002204",28781.154,,28792.8725
"002214",28785.863,,28791.3385
"002224",28782.674,,28797.98
"002234",28774.688,,28790.6735
"002244",28284.6105,,28389.0815
"002254",27550.886,,27655.282
"002264",27892.385,,27996.814
"002274",28040.993,,28147.404
"002284",28258.2115,,28310.927
"002294",27940.322,,28044.7675
"002304",28171.7475,,28271.118
"003014",,,
"003015",28607.755,28797.616,28692.175
"003024",,,
"003025",28696.966,28797.4925,28651.133
"003034",,,
"003035",28431.834,,28484.587
"003044",,,
"003045",,,
"003054",,,
"003064",,,
"003074",,,
"003084",,,
"003094",,,
"003104",,,
"003114",,,
"003124",,,
"003134",,,
"003144",,,
"003154",,,
"003164",,,
"003174",,,
"003184",28780.0125,,28794.104
"003194",28782.781,,28791.154
"003204",28785.5395,,28788.356
"003214",28773.687,,28792.882
"003224",28787.459,,28794.0935
"003234",28340.655,,28442.937
"003244",27856.739,28796.193,27961.214
"003254",27133.897,28775.253,27237.333
"003264",27551.347,28794.015,27656.319
"003274",27837.813,28795.69,27945.2725
"003284",28172.751,28796.1165,28273.2345
"003294",27563.669,28788.243,27668.264
"003304",28200.036,28798.0535,28311.079
"004014",,,
"004015",27824.947,28794.841,27928.812
"004024",,,
"004025",27934.264,28794.874,28041.3705
"004034",,,
"004035",27576.214,28790.923,27684.0775
"004044",,,
"004045",27435.046,28659.1975,27521.65
"004054",,,
"004064",,,
"004074",,,
"004084",,,
"004094",,,
"004104",,,
"004114",,,
"004124",,,
"004134",,,
"004144",,,
"004154",,,
"004164",28780.082,,28791.035
"004174",28778.157,,28793.5255
"004184",28742.163,,28787.584
"004194",28751.046,,28781.032
"004204",28776.779,,28769.179
"004214",28764.3335,,28776.3585
"004224",28599.753,,28680.579
"004234",27696.142,28794.776,27798.0545
"004244",27542.3865,28794.95,27643.018
"004254",26765.961,28535.338,26871.03
"004264",27281.9285,28777.4905,27383.0815
"004274",27194.147,28783.5045,27304.547
"004284",27461.502,28789.398,27566.761
"004294",27101.5915,28694.1295,27211.1705
"004304",27251.259,28764.115,27351.847
"005014",,,
"005015",27034.6775,28570.951,27138.26
