Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,merchVol,topVolRatio,topBarkRatio
1,AB,4,ABIE,LAS,, 13.00, 12.98,0.000000,0.481952,0.543703
2,AB,4,ABIE,LAS,, 14.00, 13.35,0.000000,0.388955,0.450767
3,AB,4,ABIE,LAS,, 15.00, 13.71,0.069569,0.314110,0.373337
4,AB,4,ABIE,LAS,, 16.00, 14.05,0.087838,0.254817,0.310044
5,AB,4,ABIE,LAS,, 17.00, 14.38,0.107489,0.208042,0.258669
6,AB,4,ABIE,LAS,, 18.00, 14.70,0.128491,0.171076,0.216999
7,AB,4,ABIE,LAS,, 19.00, 15.00,0.150843,0.141718,0.183107
8,AB,4,ABIE,LAS,, 20.00, 15.30,0.174559,0.118255,0.155422
9,AB,4,ABIE,LAS,, 21.00, 15.59,0.199664,0.099372,0.132686
10,AB,4,ABIE,LAS,, 22.00, 15.87,0.226184,0.084064,0.113908
11,AB,4,ABIE,LAS,, 23.00, 16.14,0.254149,0.071566,0.098308
12,AB,4,ABIE,LAS,, 24.00, 16.40,0.283588,0.061290,0.085273
13,AB,4,ABIE,LAS,, 25.00, 16.66,0.314529,0.052784,0.074320
14,AB,4,ABIE,LAS,, 26.00, 16.91,0.347000,0.045699,0.065068
15,AB,4,ABIE,LAS,, 27.00, 17.16,0.381026,0.039760,0.057210
16,AB,4,ABIE,LAS,, 28.00, 17.40,0.416634,0.034755,0.050504
17,AB,4,ABIE,LAS,, 29.00, 17.63,0.453846,0.030513,0.044754
18,AB,4,ABIE,LAS,, 30.00, 17.86,0.492687,0.026899,0.039801
19,AB,4,ABIE,LAS,, 31.00, 18.09,0.533179,0.023805,0.035516
20,AB,4,ABIE,LAS,, 32.00, 18.31,0.575342,0.021144,0.031795
21,AB,4,ABIE,LAS,, 33.00, 18.53,0.619197,0.018845,0.028551
22,AB,4,ABIE,LAS,, 34.00, 18.74,0.664764,0.016851,0.025712
23,AB,4,ABIE,LAS,, 35.00, 18.95,0.712062,0.015115,0.023219
24,AB,4,ABIE,LAS,, 36.00, 19.15,0.761108,0.013598,0.021022
25,AB,4,ABIE,LAS,, 37.00, 19.36,0.811921,0.012267,0.019081
26,AB,4,ABIE,LAS,, 38.00, 19.55,0.864518,0.011095,0.017359
27,AB,4,ABIE,LAS,, 39.00, 19.75,0.918915,0.010061,0.015829
28,AB,4,ABIE,LAS,, 40.00, 19.94,0.975129,0.009145,0.014465
29,AB,4,ABIE,LAS,, 41.00, 20.13,1.033175,0.008331,0.013245
30,AB,4,ABIE,LAS,, 42.00, 20.32,1.093068,0.007607,0.012152
31,AB,4,ABIE,LAS,, 43.00, 20.50,1.154825,0.006959,0.011171
32,AB,4,ABIE,LAS,, 44.00, 20.68,1.218458,0.006380,0.010287
33,AB,4,ABIE,LAS,, 45.00, 20.86,1.283983,0.005860,0.009489
34,AB,4,ABIE,LAS,, 46.00, 21.03,1.351413,0.005392,0.008768
35,AB,4,ABIE,LAS,, 47.00, 21.21,1.420763,0.004970,0.008114
36,AB,4,ABIE,LAS,, 48.00, 21.38,1.492046,0.004589,0.007521
37,AB,4,ABIE,LAS,, 49.00, 21.55,1.565274,0.004244,0.006981
38,AB,4,ABIE,LAS,, 50.00, 21.72,1.640461,0.003931,0.006489
39,AB,5,ABIE,LAS,, 13.00, 12.98,0.000000,0.481952,0.543703
40,AB,5,ABIE,LAS,, 14.00, 13.35,0.000000,0.388955,0.450767
41,AB,5,ABIE,LAS,, 15.00, 13.71,0.069569,0.314110,0.373337
42,AB,5,ABIE,LAS,, 16.00, 14.05,0.087838,0.254817,0.310044
43,AB,5,ABIE,LAS,, 17.00, 14.38,0.107489,0.208042,0.258669
44,AB,5,ABIE,LAS,, 18.00, 14.70,0.128491,0.171076,0.216999
45,AB,5,ABIE,LAS,, 19.00, 15.00,0.150843,0.141718,0.183107
46,AB,5,ABIE,LAS,, 20.00, 15.30,0.174559,0.118255,0.155422
47,AB,5,ABIE,LAS,, 21.00, 15.59,0.199664,0.099372,0.132686
48,AB,5,ABIE,LAS,, 22.00, 15.87,0.226184,0.084064,0.113908
49,AB,5,ABIE,LAS,, 23.00, 16.14,0.254149,0.071566,0.098308
50,AB,5,ABIE,LAS,, 24.00, 16.40,0.283588,0.061290,0.085273
51,AB,5,ABIE,LAS,, 25.00, 16.66,0.314529,0.052784,0.074320
52,AB,5,ABIE,LAS,, 26.00, 16.91,0.347000,0.045699,0.065068
53,AB,5,ABIE,LAS,, 27.00, 17.16,0.381026,0.039760,0.057210
54,AB,5,ABIE,LAS,, 28.00, 17.40,0.416634,0.034755,0.050504
55,AB,5,ABIE,LAS,, 29.00, 17.63,0.453846,0.030513,0.044754
56,AB,5,ABIE,LAS,, 30.00, 17.86,0.492687,0.026899,0.039801
57,AB,5,ABIE,LAS,, 31.00, 18.09,0.533179,0.023805,0.035516
58,AB,5,ABIE,LAS,, 32.00, 18.31,0.575342,0.021144,0.031795
59,AB,5,ABIE,LAS,, 33.00, 18.53,0.619197,0.018845,0.028551
60,AB,5,ABIE,LAS,, 34.00, 18.74,0.664764,0.016851,0.025712
61,AB,5,ABIE,LAS,, 35.00, 18.95,0.712062,0.015115,0.023219
62,AB,5,ABIE,LAS,, 36.00, 19.15,0.761108,0.013598,0.021022
63,AB,5,ABIE,LAS,, 37.00, 19.36,0.811921,0.012267,0.019081
64,AB,5,ABIE,LAS,, 38.00, 19.55,0.864518,0.011095,0.017359
65,AB,5,ABIE,LAS,, 39.00, 19.75,0.918915,0.010061,0.015829
66,AB,5,ABIE,LAS,, 40.00, 19.94,0.975129,0.009145,0.014465
67,AB,5,ABIE,LAS,, 41.00, 20.13,1.033175,0.008331,0.013245
68,AB,5,ABIE,LAS,, 42.00, 20.32,1.093068,0.007607,0.012152
69,AB,5,ABIE,LAS,, 43.00, 20.50,1.154825,0.006959,0.011171
70,AB,5,ABIE,LAS,, 44.00, 20.68,1.218458,0.006380,0.010287
71,AB,5,ABIE,LAS,, 45.00, 20.86,1.283983,0.005860,0.009489
72,AB,5,ABIE,LAS,, 46.00, 21.03,1.351413,0.005392,0.008768
73,AB,5,ABIE,LAS,, 47.00, 21.21,1.420763,0.004970,0.008114
74,AB,5,ABIE,LAS,, 48.00, 21.38,1.492046,0.004589,0.007521
75,AB,5,ABIE,LAS,, 49.00, 21.55,1.565274,0.004244,0.006981
76,AB,5,ABIE,LAS,, 50.00, 21.72,1.640461,0.003931,0.006489
77,AB,6,ABIE,LAS,, 13.00, 12.98,0.000000,0.481952,0.543703
78,AB,6,ABIE,LAS,, 14.00, 13.35,0.000000,0.388955,0.450767
79,AB,6,ABIE,LAS,, 15.00, 13.71,0.069569,0.314110,0.373337
80,AB,6,ABIE,LAS,, 16.00, 14.05,0.087838,0.254817,0.310044
81,AB,6,ABIE,LAS,, 17.00, 14.38,0.107489,0.208042,0.258669
82,AB,6,ABIE,LAS,, 18.00, 14.70,0.128491,0.171076,0.216999
83,AB,6,ABIE,LAS,, 19.00, 15.00,0.150843,0.141718,0.183107
84,AB,6,ABIE,LAS,, 20.00, 15.30,0.174559,0.118255,0.155422
85,AB,6,ABIE,LAS,, 21.00, 15.59,0.199664,0.099372,0.132686
86,AB,6,ABIE,LAS,, 22.00, 15.87,0.226184,0.084064,0.113908
87,AB,6,ABIE,LAS,, 23.00, 16.14,0.254149,0.071566,0.098308
88,AB,6,ABIE,LAS,, 24.00, 16.40,0.283588,0.061290,0.085273
89,AB,6,ABIE,LAS,, 25.00, 16.66,0.314529,0.052784,0.074320
90,AB,6,ABIE,LAS,, 26.00, 16.91,0.347000,0.045699,0.065068
91,AB,6,ABIE,LAS,, 27.00, 17.16,0.381026,0.039760,0.057210
92,AB,6,ABIE,LAS,, 28.00, 17.40,0.416634,0.034755,0.050504
93,AB,6,ABIE,LAS,, 29.00, 17.63,0.453846,0.030513,0.044754
94,AB,6,ABIE,LAS,, 30.00, 17.86,0.492687,0.026899,0.039801
95,AB,6,ABIE,LAS,, 31.00, 18.09,0.533179,0.023805,0.035516
96,AB,6,ABIE,LAS,, 32.00, 18.31,0.575342,0.021144,0.031795
97,AB,6,ABIE,LAS,, 33.00, 18.53,0.619197,0.018845,0.028551
98,AB,6,ABIE,LAS,, 34.00, 18.74,0.664764,0.016851,0.025712
99,AB,6,ABIE,LAS,, 35.00, 18.95,0.712062,0.015115,0.023219
100,AB,6,ABIE,LAS,, 36.00, 19.15,0.761108,0.013598,0.021022
101,AB,6,ABIE,LAS,, 37.00, 19.36,0.811921,0.012267,0.019081
102,AB,6,ABIE,LAS,, 38.00, 19.55,0.864518,0.011095,0.017359
103,AB,6,ABIE,LAS,, 39.00, 19.75,0.918915,0.010061,0.015829
104,AB,6,ABIE,LAS,, 40.00, 19.94,0.975129,0.009145,0.014465
105,AB,6,ABIE,LAS,, 41.00, 20.13,1.033175,0.008331,0.013245
106,AB,6,ABIE,LAS,, 42.00, 20.32,1.093068,0.007607,0.012152
107,AB,6,ABIE,LAS,, 43.00, 20.50,1.154825,0.006959,0.011171
108,AB,6,ABIE,LAS,, 44.00, 20.68,1.218458,0.006380,0.010287
109,AB,6,ABIE,LAS,, 45.00, 20.86,1.283983,0.005860,0.009489
110,AB,6,ABIE,LAS,, 46.00, 21.03,1.351413,0.005392,0.008768
111,AB,6,ABIE,LAS,, 47.00, 21.21,1.420763,0.004970,0.008114
112,AB,6,ABIE,LAS,, 48.00, 21.38,1.492046,0.004589,0.007521
113,AB,6,ABIE,LAS,, 49.00, 21.55,1.565274,0.004244,0.006981
114,AB,6,ABIE,LAS,, 50.00, 21.72,1.640461,0.003931,0.006489
115,AB,9,ABIE,LAS,, 13.00, 12.98,0.000000,0.481952,0.543703
116,AB,9,ABIE,LAS,, 14.00, 13.35,0.000000,0.388955,0.450767
117,AB,9,ABIE,LAS,, 15.00, 13.71,0.069569,0.314110,0.373337
118,AB,9,ABIE,LAS,, 16.00, 14.05,0.087838,0.254817,0.310044
119,AB,9,ABIE,LAS,, 17.00, 14.38,0.107489,0.208042,0.258669
