species,stump_ht,stump_d,top_d,min_len,piece_size,dbh,ht,total_ob_vol,total_ib_vol,total_bark_vol,merch_ob_vol,merch_ib_vol,top_ib_vol,top_ob_vol,top_bark_vol,top_ib_prop,top_bark_prop,merch_ib_vol137 
Sb, 30, 15, 10, 4.88, 0.290, 22.6, 25.2,0.383,0.341,0.0428,0.325,0.29,0.0283,0.0337,0.00539,0.083,0.126,0.311
Sw, 30, 15, 10, 4.88, 0.290, 22.6, 20.5,0.365,0.325,0.0398,0.325,0.29,0.0179,0.0213,0.00339,0.0551,0.0852,0.304
Pl, 30, 15, 10, 4.88, 0.290, 20.4, 24.9,0.361,0.33,0.0311,0.316,0.29,0.0266,0.0302,0.00358,0.0808,0.115,0.31
Aw, 30, 15, 10, 4.88, 0.264, 20.2, 26.4,0.358,0.307,0.0513,0.307,0.264,0.0295,0.0354,0.00594,0.0961,0.116,0.286
Sw, 15, 15, 11, 3.66, 0.333, 23.8, 20.9,0.412,0.368,0.0441,0.371,0.333,0.0243,0.0287,0.00433,0.0662,0.0982,0.344
Sb, 15, 15, 11, 3.66, 0.333, 23.9, 25.4,0.432,0.385,0.0472,0.372,0.333,0.0372,0.0438,0.00666,0.0966,0.141,0.353
Pl, 15, 15, 11, 3.66, 0.333, 21.7, 25.2,0.411,0.377,0.0346,0.363,0.333,0.0353,0.0397,0.00447,0.0937,0.129,0.356
Fb, 15, 15, 11, 3.66, 0.333, 24.2, 22.5,0.425,0.375,0.0502,0.376,0.333,0.0286,0.0339,0.00528,0.0764,0.105,0.347
Aw, 30, 15, 10, 3.66, 0.556, 26.8, 30.1,0.695,0.6,0.0953,0.644,0.556,0.0205,0.0246,0.00411,0.0341,0.0432,0.572
Sw, 30, 15, 12, 3.88, 0.420, 26.5, 21.8,0.528,0.474,0.0545,0.467,0.42,0.0296,0.0346,0.00499,0.0626,0.0917,0.446
Sb, 30, 15, 12, 3.88, 0.420, 26.9, 25.8,0.553,0.495,0.0579,0.468,0.42,0.0434,0.0508,0.00735,0.0876,0.127,0.458
Pl, 30, 15, 12, 3.88, 0.420, 24.1, 25.9,0.523,0.48,0.0423,0.456,0.42,0.0418,0.0469,0.00504,0.0871,0.119,0.457
Sw, 30, 15, 11, 3.66, 0.278, 22.5, 20.4,0.361,0.321,0.0394,0.311,0.278,0.0262,0.0309,0.00467,0.0816,0.118,0.3
Sb, 30, 15, 11, 3.66, 0.278, 22.6, 25.2,0.383,0.341,0.0428,0.311,0.278,0.0402,0.0475,0.00723,0.118,0.169,0.311
Aw, 30, 15, 10, 3.66, 0.264, 20.2, 26.4,0.358,0.307,0.0513,0.307,0.264,0.0295,0.0354,0.00594,0.0961,0.116,0.286
Pl, 30, 15, 11, 3.66, 0.278, 20.4, 24.9,0.361,0.33,0.0311,0.303,0.278,0.0386,0.0435,0.0049,0.117,0.158,0.31
Aw, 30, 15, 10, 3.66, 0.164, 17.2, 24.6,0.245,0.209,0.0362,0.191,0.164,0.0357,0.0428,0.00719,0.171,0.199,0.19
Se, 30, 15, 11, 2.44, 0.278, 23.3, 19.0,0.36,0.321,0.0387,0.31,0.278,0.0235,0.0277,0.00419,0.0732,0.108,0.297
Pl, 30, 15, 11, 2.44, 0.278, 20.4, 24.9,0.361,0.33,0.0311,0.303,0.278,0.0386,0.0435,0.0049,0.117,0.158,0.31
Sw, 30, 15, 11, 2.44, 0.278, 22.5, 20.4,0.361,0.321,0.0394,0.311,0.278,0.0262,0.0309,0.00467,0.0816,0.118,0.3
Px, 30, 15, 11, 2.44, 0.278, 20.4, 24.9,0.361,0.33,0.0311,0.303,0.278,0.0386,0.0435,0.0049,0.117,0.158,0.31
Sb, 30, 13,  7, 4.88, 0.172, 17.5, 24.2,0.224,0.196,0.0278,0.196,0.172,0.0106,0.0132,0.00263,0.0542,0.0943,0.172
Pl, 30, 13,  7, 4.88, 0.172, 15.9, 23.4,0.209,0.19,0.02,0.19,0.172,0.0096,0.0112,0.00164,0.0506,0.0821,0.172
Aw, 30, 13,  7, 4.88, 0.192, 17.3, 24.6,0.247,0.211,0.0365,0.225,0.192,0.00897,0.0111,0.00209,0.0426,0.0572,0.192
Sw, 30, 15, 11, 4.88, 0.278, 22.5, 20.4,0.361,0.321,0.0394,0.311,0.278,0.0262,0.0309,0.00467,0.0816,0.118,0.3
Sw, 30, 15, 11, 2.66, 0.196, 19.9, 19.4,0.271,0.24,0.0311,0.22,0.196,0.0307,0.0362,0.00548,0.128,0.176,0.221
Aw, 30, 15, 10, 2.66, 0.222, 19.0, 25.7,0.31,0.265,0.045,0.259,0.222,0.0317,0.0381,0.00639,0.12,0.142,0.246
Sb, 30, 15, 11, 4.88, 0.278, 22.6, 25.2,0.383,0.341,0.0428,0.311,0.278,0.0402,0.0475,0.00723,0.118,0.169,0.311
Pl, 30, 15, 11, 4.88, 0.278, 20.4, 24.9,0.361,0.33,0.0311,0.303,0.278,0.0386,0.0435,0.0049,0.117,0.158,0.31
Se, 30, 15, 11, 4.88, 0.278, 23.3, 19.0,0.36,0.321,0.0387,0.31,0.278,0.0235,0.0277,0.00419,0.0732,0.108,0.297
Sw, 30, 15, 11, 4.88, 0.476, 27.6, 22.2,0.581,0.522,0.0591,0.529,0.476,0.0199,0.0234,0.00353,0.0381,0.0598,0.493
Sb, 30, 15, 11, 4.88, 0.476, 27.9, 26.0,0.602,0.54,0.0621,0.53,0.476,0.0294,0.0346,0.00525,0.0545,0.0845,0.5
Aw, 30, 15, 10, 4.88, 0.417, 24.0, 28.6,0.534,0.46,0.0744,0.484,0.417,0.0237,0.0285,0.00477,0.0517,0.0641,0.435
Sw, 15, 30, 11, 4.88, 0.455, 26.9, 22.0,0.546,0.49,0.056,0.506,0.455,0.0206,0.0243,0.00367,0.0421,0.0655,0.462
Sb, 15, 30, 11, 4.88, 0.455, 27.1, 25.9,0.564,0.505,0.0588,0.506,0.455,0.0308,0.0363,0.00551,0.061,0.0936,0.468
Pl, 15, 30, 11, 4.88, 0.455, 24.5, 26.0,0.538,0.495,0.0434,0.494,0.455,0.0291,0.0328,0.00369,0.0589,0.0851,0.471
Aw, 15, 15, 10, 4.88, 0.264, 20.1, 26.3,0.351,0.301,0.0504,0.307,0.264,0.0298,0.0358,0.006,0.099,0.119,0.281
Fb, 30, 15, 11, 4.88, 0.278, 22.8, 22.2,0.374,0.329,0.045,0.315,0.278,0.0311,0.0369,0.00574,0.0946,0.128,0.304
Pl, 15, 30, 11, 4.88, 0.278, 20.2, 24.8,0.355,0.324,0.0306,0.303,0.278,0.0391,0.044,0.00496,0.121,0.162,0.305
Px, 15, 30, 11, 4.88, 0.278, 20.2, 24.8,0.355,0.324,0.0306,0.303,0.278,0.0391,0.044,0.00496,0.121,0.162,0.305
Sw, 15, 30, 11, 4.88, 0.278, 22.3, 20.3,0.353,0.314,0.0388,0.312,0.278,0.0265,0.0313,0.00473,0.0844,0.122,0.293
Se, 15, 30, 11, 4.88, 0.278, 23.1, 18.8,0.35,0.313,0.0379,0.31,0.278,0.0237,0.0279,0.00423,0.0758,0.112,0.289
Sw, 30, 15, 11, 4.88, 0.400, 25.8, 21.6,0.496,0.444,0.0516,0.446,0.4,0.0218,0.0257,0.00388,0.0491,0.0752,0.418
Aw, 30, 15, 10, 4.88, 0.370, 22.9, 28.0,0.479,0.412,0.0673,0.43,0.37,0.0252,0.0303,0.00507,0.0611,0.0753,0.389
Sw, 25, 15, 11, 3.66, 0.238, 21.2, 19.9,0.315,0.279,0.0352,0.267,0.238,0.0283,0.0333,0.00505,0.101,0.143,0.26
Sb, 25, 15, 11, 3.66, 0.238, 21.2, 24.9,0.338,0.299,0.0387,0.267,0.238,0.0436,0.0515,0.00785,0.146,0.203,0.272
Aw, 30, 15, 10, 4.88, 0.263, 20.2, 26.4,0.357,0.306,0.0512,0.307,0.263,0.0295,0.0354,0.00594,0.0964,0.116,0.286
Aw, 30, 15, 11, 4.88, 0.264, 20.6, 26.6,0.372,0.319,0.0532,0.307,0.264,0.0415,0.0496,0.0081,0.13,0.152,0.298
Pl, 15, 15, 11, 4.88, 0.278, 20.2, 24.8,0.355,0.324,0.0306,0.303,0.278,0.0391,0.044,0.00496,0.121,0.162,0.305
Sw, 15, 15, 11, 4.88, 0.278, 22.3, 20.3,0.353,0.314,0.0388,0.312,0.278,0.0265,0.0313,0.00473,0.0844,0.122,0.293
Sb, 15, 15, 11, 4.88, 0.278, 22.3, 25.1,0.374,0.332,0.042,0.311,0.278,0.0409,0.0482,0.00734,0.123,0.175,0.303
Se, 15, 15, 11, 4.88, 0.278, 23.1, 18.8,0.35,0.313,0.0379,0.31,0.278,0.0237,0.0279,0.00423,0.0758,0.112,0.289
Pl, 15, 15, 11, 3.76, 0.200, 18.1, 24.1,0.276,0.251,0.025,0.218,0.2,0.0462,0.052,0.00587,0.184,0.235,0.233
Sb, 15, 15, 11, 3.76, 0.200, 19.8, 24.7,0.292,0.258,0.0344,0.225,0.2,0.0475,0.0561,0.00857,0.184,0.249,0.232
Sw, 15, 15, 11, 3.76, 0.200, 19.8, 19.4,0.269,0.238,0.0309,0.225,0.2,0.0308,0.0363,0.0055,0.129,0.178,0.22
Se, 15, 15, 11, 3.76, 0.200, 20.7, 17.4,0.265,0.235,0.0298,0.225,0.2,0.0261,0.0307,0.00465,0.111,0.156,0.215
Aw, 30, 15, 10, 2.67, 0.264, 20.2, 26.4,0.358,0.307,0.0513,0.307,0.264,0.0295,0.0354,0.00594,0.0961,0.116,0.286
Sb, 15, 15, 10, 3.66, 0.420, 26.0, 25.7,0.515,0.46,0.0546,0.468,0.42,0.0229,0.0272,0.00434,0.0496,0.0796,0.425
Sw, 15, 15, 10, 3.66, 0.420, 25.9, 21.6,0.5,0.448,0.052,0.468,0.42,0.0149,0.0177,0.00281,0.0332,0.0541,0.422
Pl, 15, 15, 10, 3.66, 0.420, 23.5, 25.7,0.491,0.451,0.0401,0.456,0.42,0.0214,0.0242,0.00286,0.0474,0.0713,0.428
Fa, 15, 15, 10, 3.66, 0.420, 28.4, 17.5,0.503,0.447,0.0562,0.472,0.42,0.0101,0.012,0.00195,0.0225,0.0346,0.415
Aw, 15, 15, 10, 3.66, 0.599, 27.4, 30.4,0.732,0.632,0.1,0.693,0.599,0.0199,0.0239,0.00399,0.0314,0.0399,0.603
Sw, 15, 15, 11, 3.66, 0.385, 25.2, 21.4,0.469,0.42,0.0492,0.429,0.385,0.0226,0.0266,0.00401,0.0537,0.0815,0.395
Pl, 15, 15, 11, 3.66, 0.385, 22.9, 25.6,0.464,0.426,0.0383,0.418,0.385,0.0324,0.0365,0.0041,0.076,0.107,0.404
Sb, 15, 15, 11, 3.66, 0.385, 25.3, 25.6,0.489,0.436,0.0522,0.43,0.385,0.0342,0.0403,0.00611,0.0783,0.117,0.402
Se, 15, 15, 11, 3.66, 0.385, 25.9, 20.5,0.469,0.421,0.0488,0.429,0.385,0.0213,0.0251,0.0038,0.0507,0.0778,0.393
Aw, 15, 15, 10, 3.66, 0.556, 26.6, 30.0,0.683,0.589,0.0938,0.644,0.556,0.0207,0.0248,0.00415,0.0351,0.0443,0.562
Sw, 30, 15, 10, 3.66, 0.230, 20.7, 19.7,0.299,0.265,0.0337,0.259,0.23,0.0201,0.0239,0.00381,0.0759,0.113,0.246
Sb, 30, 15, 10, 3.66, 0.230, 20.6, 24.8,0.318,0.281,0.0368,0.259,0.23,0.0321,0.0382,0.00614,0.114,0.167,0.254
Aw, 30, 15, 10, 3.66, 0.135, 16.2, 23.9,0.213,0.181,0.0318,0.157,0.135,0.038,0.0457,0.00768,0.21,0.241,0.163
Sw, 30, 15, 10, 3.66, 0.227, 20.6, 19.7,0.295,0.261,0.0333,0.255,0.227,0.0203,0.0241,0.00384,0.0775,0.115,0.242
Aw, 30, 15, 10, 3.66, 0.147, 16.7, 24.2,0.227,0.193,0.0337,0.172,0.147,0.037,0.0444,0.00746,0.192,0.221,0.175
Sb, 30, 15, 10, 3.66, 0.246, 21.2, 24.9,0.335,0.296,0.0384,0.276,0.246,0.031,0.0369,0.00592,0.105,0.154,0.269
Sw, 30, 15, 10, 3.66, 0.246, 21.2, 19.9,0.316,0.28,0.0353,0.276,0.246,0.0195,0.0232,0.0037,0.0695,0.105,0.26
Aw, 30, 15, 10, 3.66, 0.174, 17.6, 24.8,0.257,0.219,0.0378,0.204,0.174,0.0349,0.0419,0.00703,0.159,0.186,0.2
Sw, 30, 15, 10, 3.66, 0.217, 20.3, 19.6,0.284,0.252,0.0323,0.244,0.217,0.0207,0.0246,0.00392,0.0821,0.121,0.233
Aw, 30, 15, 10, 3.66, 0.112, 15.4, 23.4,0.188,0.16,0.0285,0.131,0.112,0.0401,0.0482,0.00811,0.251,0.285,0.142
Sw, 30, 15, 10, 3.66, 0.200, 19.7, 19.3,0.266,0.235,0.0306,0.225,0.2,0.0215,0.0256,0.00408,0.0914,0.133,0.217
Sb, 30, 15, 10, 3.66, 0.200, 19.6, 24.6,0.285,0.251,0.0338,0.226,0.2,0.0344,0.041,0.00659,0.137,0.195,0.226
Sw, 30, 15, 10, 3.66, 0.226, 20.6, 19.7,0.294,0.261,0.0332,0.254,0.226,0.0203,0.0241,0.00385,0.0779,0.116,0.241
Sb, 30, 15, 10, 3.66, 0.226, 20.5, 24.8,0.314,0.277,0.0364,0.255,0.226,0.0324,0.0385,0.00619,0.117,0.17,0.251
Aw, 30, 15, 10, 3.66, 0.110, 15.3, 23.3,0.186,0.158,0.0281,0.129,0.11,0.0403,0.0485,0.00816,0.256,0.29,0.14
Sw, 30, 15, 10, 3.66, 0.228, 20.6, 19.7,0.296,0.262,0.0334,0.256,0.228,0.0202,0.0241,0.00384,0.0771,0.115,0.243
Sb, 30, 15, 10, 3.66, 0.228, 20.6, 24.8,0.316,0.279,0.0366,0.257,0.228,0.0322,0.0384,0.00616,0.116,0.168,0.252
Aw, 30, 15, 10, 3.66, 0.113, 15.4, 23.4,0.189,0.161,0.0286,0.132,0.113,0.04,0.0481,0.00809,0.249,0.283,0.143
Sw, 30, 15, 10, 3.66, 0.203, 19.8, 19.4,0.268,0.238,0.0308,0.228,0.203,0.0214,0.0254,0.00405,0.0899,0.132,0.219
Sb, 30, 15, 10, 3.66, 0.203, 19.7, 24.7,0.288,0.254,0.034,0.228,0.203,0.0342,0.0407,0.00655,0.135,0.193,0.228
Aw, 30, 15, 10, 3.66, 0.128, 16.0, 23.8,0.206,0.175,0.0309,0.15,0.128,0.0386,0.0464,0.0078,0.221,0.253,0.157
Sw, 30, 15, 10, 3.66, 0.220, 20.4, 19.6,0.287,0.255,0.0326,0.247,0.22,0.0206,0.0245,0.0039,0.0808,0.12,0.235
Aw, 30, 15, 10, 3.66, 0.122, 15.8, 23.6,0.199,0.169,0.0299,0.142,0.122,0.0392,0.0471,0.00792,0.232,0.265,0.151
Sw, 30, 15, 10, 3.66, 0.207, 19.9, 19.4,0.273,0.242,0.0313,0.233,0.207,0.0212,0.0252,0.00401,0.0875,0.128,0.223
Sb, 30, 15, 10, 3.66, 0.207, 19.8, 24.7,0.292,0.258,0.0344,0.233,0.207,0.0339,0.0403,0.00648,0.131,0.188,0.232
Pj, 30, 15, 10, 3.66, 0.207, 19.7, 18.8,0.264,0.241,0.0229,0.226,0.207,0.0213,0.0242,0.00287,0.0883,0.125,0.223
Aw, 30, 15, 10, 3.66, 0.132, 16.1, 23.9,0.21,0.179,0.0315,0.155,0.132,0.0383,0.046,0.00773,0.214,0.246,0.161
Sw, 15, 15, 10, 4.88, 0.303, 22.7, 20.5,0.371,0.33,0.0404,0.339,0.303,0.0178,0.0211,0.00336,0.0538,0.0834,0.308
