TRM,FMU,Ecozone,CD,sp,vol,stems,residue
59185,W15,9,con,Sb,231.571992731945,798.524112868775,32.1725365074829
60185,W15,9,con,Sw,209.087953771539,720.992944039788,25.6538662397629
59195,W15,9,con,Sb,223.015657705316,769.019509328677,30.9837960308524
58205,W15,9,con,Sb,220.284693147787,759.602390164783,30.6043802997391
60205,W15,9,con,Sb,207.789013060932,716.513838141145,28.8683425387067
63205,W15,9,con,Sw,168.573479921053,581.287861796735,20.6829777969482
57215,W15,9,con,Sw,218.074429425077,751.980791120954,26.756454123112
59215,W15,9,con,Pl,248.26380843978,856.082098068206,23.588657346591
62215,W15,9,con,Sw,194.632322022003,671.145938006909,23.8802449640052
63215,W15,9,con,Sw,193.10488622848,665.878918029242,23.6928375460739
59225,W15,9,con,Pl,258.755892409038,892.261697962202,24.5855572779901
61225,W15,9,con,Pl,223.830368118216,771.828855580056,21.267126652424
63225,W15,9,con,Sw,189.444706971788,653.257610247544,23.2437550075009
58235,W15,9,con,Pl,249.331913181079,859.765217865789,23.6901427661175
61235,W15,9,con,Pl,230.740204576329,795.655877849409,21.9236611894382
62235,W15,9,con,Sw,233.248516279402,804.305228549663,28.6182256285941
58245,W15,9,con,Pl,235.148716934381,810.857644601312,22.3425337108735
59245,W15,9,con,Pl,281.82967207533,971.826455432172,26.7779005182691
61245,W15,9,con,Sb,283.49204176004,977.558764689791,39.3858426293517
56026,W15,9,con,Pl,294.644847608675,1016.01671589198,27.9955277930309
56026,W15,14,con,Pl,294.644847608675,1016.01671589198,22.8680978346104
55046,W15,14,con,Pl,242.559529791839,836.412171695995,18.8256305956648
60255,W15,9,con,Pl,278.35780896529,959.854513673414,26.44802324066
61255,W15,9,con,Sb,273.217712547123,942.130043265941,37.9584194431848
58265,W15,9,con,Pl,270.523408307568,932.839338991614,25.7036417144427
59265,W15,9,con,Pl,275.254233185595,949.15252822619,26.1531385932501
58275,W15,9,con,Pl,298.653124503862,1029.83836035814,28.3763721489804
59275,W15,9,con,Sb,274.098892125173,945.16859353508,38.0808426335284
56016,W15,9,con,Pl,276.606561855322,953.815730535592,26.2816294023238
58016,W15,9,con,Pl,267.350272120241,921.897490069796,25.4021478208812
58016,W15,14,con,Pl,267.350272120241,921.897490069796,20.7496999474949
60265,W15,9,con,Pl,255.062177052404,879.524748456565,24.2346008239219
60275,W15,9,con,Sb,246.099199223082,848.617928355456,34.1908163334413
57016,W15,9,con,Pl,286.227071620768,986.989902140579,27.195717161562
58195,W15,9,con,Pl,286.63047702817,988.380955269552,27.2340465176883
60215,W15,9,con,Sb,193.761857700899,668.144336899652,26.919535333687
60225,W15,9,con,Pl,240.340035217199,828.758742128272,22.8357841323508
62245,W15,9,con,Pl,270.69321001482,933.424862120068,25.7197753358288
58185,W15,9,con,Pl,268.608867823075,926.237475251982,25.5217326405882
62205,W15,9,con,Sw,171.983546774545,593.046713015674,21.1013730098246
59235,W15,9,con,Pl,271.323377939086,935.597854962364,25.779650415204
58026,W15,9,con,Pl,251.117495779667,865.92239924023,23.8597989731452
58026,W15,14,con,Pl,251.117495779667,865.92239924023,19.4898349931394
57036,W15,14,con,Pl,265.418774765212,915.237154362801,20.5997917755362
55056,W15,14,con,Pl,250.327011948893,863.196592927218,19.4284836349687
61205,W15,9,con,Sw,186.506948948685,643.127410167878,22.8833093194063
58215,W15,9,con,Sb,231.273192623208,797.493767666234,32.1310238992726
61215,W15,9,con,Sw,176.974040808246,610.255313131881,21.7136773731394
64215,W15,9,con,Sw,206.524273059383,712.152665722009,25.3393176448545
58255,W15,9,con,Pl,251.369050244466,866.789828429194,23.8837002905037
57265,W15,9,con,Pl,280.269168147953,966.445407406733,26.6296300447666
57275,W15,9,con,Pl,289.877033381073,999.575977176112,27.542516390306
58225,W15,9,con,Pl,231.317833980829,797.647703382171,21.978544348533
62225,W15,9,con,Sw,199.740499049806,688.760341551057,24.5069883408306
60235,W15,9,con,Pl,259.051237573658,893.280129564338,24.6136193460417
63235,W15,9,con,Sb,237.158156026327,817.786744918368,32.9486279527611
60245,W15,9,con,Pl,241.207214586021,831.749015813866,22.9181787315384
63245,W15,9,con,Sb,197.264338329332,680.22185630804,27.4061385906509
57026,W15,9,con,Pl,268.67255650299,926.457091389622,25.5277839875679
57026,W15,14,con,Pl,268.67255650299,926.457091389622,20.852325630161
56036,W15,14,con,Sb,250.960871281217,865.382314762816,30.8673217852749
56046,W15,14,con,Pl,282.599930836894,974.482520127222,21.9332627700154
59255,W15,9,con,Pl,265.537327835292,915.645958052731,25.2298918573766
59175,W15,9,con,Sb,234.921196550162,810.073091552282,32.6378448586414
60175,W15,9,con,Sw,214.240858645888,738.761581537546,26.2860974611619
64085,W14,9,con,Sw,220.348891766489,661.70838368315,28.7836529818333
65085,W14,9,con,Sb,238.385275950898,715.871699552246,35.4246247036631
59185,W14,9,con,Sb,228.904385697297,687.40055764954,34.0157416350645
60185,W14,9,con,Sw,206.047635809316,618.761669097045,26.9155138440524
63185,W14,9,con,Sw,277.48890863146,833.3000259203,36.2477178275071
64185,W14,9,con,Sw,240.316402903086,721.670879588848,31.3919615912353
59195,W14,9,con,Sb,220.446615869502,662.001849457964,32.7588967196876
61195,W14,9,con,Sb,216.063100810381,648.838140571715,32.1074958509351
