TRM,FMU,Ecozone,sp,vol,stems,residue,r2,res
"32205",,"14",Fa,"476.8649467","1715.341535","118.4439899","118.4439899",
"53136",,"14",Fa,"447.6506181","1610.254022","111.1877182","111.1877182",
"33215",,"14",Fa,"417.9611012","1503.457199","103.8134189","103.8134189",
"18085",B11,"14",Se,"442.936417","1593.296464","101.8932208","101.8932208",
"51106",,"14",Fa,"402.8238929","1449.006809","100.0536304","100.0536304",
"52126",,"14",Fa,"398.8236482","1434.617439","99.06004727","99.06004727",
"53126",,"14",Fa,"395.2121545","1421.626455","98.1630224","98.1630224",
"34225",,"14",Fa,"394.943655","1420.66063","98.09633234","98.09633234",
"51126",,"14",Fa,"392.5954513","1412.213854","97.51308416","97.51308416",
"45056",,"14",Fa,"389.3161155","1400.417682","96.69856083","96.69856083",
"28175",,"14",Se,"416.3156159","1497.538187","95.76936408","95.76936408",
"41026",,"14",Fa,"382.4986311","1375.894356","95.00523012","95.00523012",
"50106",,"14",Fa,"381.802335","1373.389694","94.83228371","94.83228371",
"34195",R11,"14",Se,"410.1758003","1475.452519","94.35695913","94.35695913",
"34195",,"14",Se,"410.1758003","1475.452519","94.35695913","94.35695913",
"29175",,"14",Se,"409.4827522","1472.95954","94.19753014","94.19753014",
"32195",,"14",Fa,"375.269279","1349.889493","93.20959949","93.20959949",
"34215",,"14",Fa,"375.0171011","1348.982378","93.14696341","93.14696341",
"35225",,"14",Fa,"370.9564722","1334.375799","92.13838207","92.13838207",
"51096",,"14",Fa,"370.8886807","1334.131945","92.12154398","92.12154398",
"55116",,"14",Fa,"366.6135907","1318.753923","91.05969465","91.05969465",
"50096",,"14",Fa,"362.2063042","1302.900375","89.96501031","89.96501031",
"42026",,"14",Fa,"361.7526958","1301.26869","89.85234278","89.85234278",
"30175",,"14",Se,"389.5888092","1401.398594","89.62112177","89.62112177",
"49096",,"14",Fa,"360.1614433","1295.54476","89.45710656","89.45710656",
"52116",,"14",Fa,"355.5386509","1278.91601","88.30889473","88.30889473",
"29165",,"14",Se,"382.1989963","1374.816534","87.9211671","87.9211671",
"54086",,"14",Fa,"352.1774643","1266.825411","87.47404127","87.47404127",
"35235",,"14",Fa,"345.0183716","1241.073279","85.6958617","85.6958617",
"36235",,"14",Fa,"342.1574834","1230.782314","84.98527265","84.98527265",
"40275",,"14",Fa,"341.2465936","1227.505732","84.75902531","84.75902531",
"52136",,"14",Fa,"340.1805683","1223.671109","84.49424535","84.49424535",
"40026",,"14",Fa,"340.0458442","1223.18649","84.46078249","84.46078249",
"51116",,"14",Fa,"339.6285076","1221.685279","84.35712419","84.35712419",
"43036",,"14",Fa,"336.5432832","1210.58735","83.59081438","83.59081438",
"46026",,"14",Fa,"330.9036591","1190.300932","82.19004128","82.19004128",
"14055",C5,"14",Se,"357.120675","1284.606745","82.15214284","82.15214284",
"14055",B11,"14",Se,"357.120675","1284.606745","82.15214284","82.15214284",
"37255",,"14",Fa,"330.0685928","1187.297096","81.98262705","81.98262705",
"14065",C5,"14",Se,"356.2212153","1281.371278","81.94523087","81.94523087",
"14065",B11,"14",Se,"356.2212153","1281.371278","81.94523087","81.94523087",
"49066",,"14",Fa,"329.643674","1185.768612","81.87708548","81.87708548",
"47056",,"14",Fa,"329.0946582","1183.793734","81.7407206","81.7407206",
"15065",B11,"14",Se,"354.5767481","1275.455928","81.56693716","81.56693716",
"22125",,"14",Se,"352.4455667","1267.789808","81.07667958","81.07667958",
"44026",,"14",Fa,"325.7850006","1171.888491","80.91866594","80.91866594",
"59146",,"14",Fa,"322.9993471","1161.868155","80.22676373","80.22676373",
"53106",,"14",Fa,"322.1399408","1158.776765","80.0133039","80.0133039",
"58126",,"14",Fa,"320.8198834","1154.028358","79.68542728","79.68542728",
"56106",E10,"14",Fa,"316.9231092","1140.011184","78.71754427","78.71754427",
"56106",,"14",Fa,"316.9231092","1140.011184","78.71754427","78.71754427",
"48046",,"14",Se,"341.5510177","1228.600783","78.57049441","78.57049441",
"55086",,"14",Fa,"314.5211488","1131.371039","78.12094395","78.12094395",
"36205",R11,"14",Se,"338.1166533","1216.246954","77.78045223","77.78045223",
"36205",,"14",Se,"338.1166533","1216.246954","77.78045223","77.78045223",
"43026",,"14",Fa,"313.0724912","1126.16004","77.76112554","77.76112554",
"58136",,"14",Fa,"312.6952397","1124.80302","77.6674236","77.6674236",
"14055",B12,"14",Se,"347.5012629","1250.004543","77.50453166","77.50453166",
"50086",,"14",Fa,"312.0096262","1122.336785","77.49713052","77.49713052",
"14065",B12,"14",Se,"346.626031","1246.856227","77.30932537","77.30932537",
"59136",,"14",Fa,"310.7421834","1117.777638","77.18232236","77.18232236",
"36195",R11,"14",Se,"334.7905333","1204.282494","77.01531062","77.01531062",
"36195",,"14",Se,"334.7905333","1204.282494","77.01531062","77.01531062",
"15065",B12,"14",Se,"345.0258592","1241.100213","76.95243295","76.95243295",
"60146",,"14",Fa,"307.2645456","1105.26815","76.31854469","76.31854469",
"52096",,"14",Se,"329.4308647","1185.00311","75.78237092","75.78237092",
"21105",B11,"14",Se,"327.2854216","1177.285689","75.28883257","75.28883257",
"21105",,"14",Se,"327.2854216","1177.285689","75.28883257","75.28883257",
"51086",,"14",Fa,"301.7225119","1085.332777","74.94201116","74.94201116",
"49275",E14,"9",Pl,"416.3747044","2081.873522","74.51649898","74.51649898",
"48086",,"14",Fa,"299.6204091","1077.771256","74.41988966","74.41988966",
"53116",,"14",Se,"322.526321","1160.166622","74.19404769","74.19404769",
"48026",,"14",Se,"322.3895055","1159.67448","74.16257461","74.16257461",
"50056",,"14",Se,"320.4555322","1152.717742","73.71768285","73.71768285",
"47046",,"14",Fa,"296.0519853","1064.935199","73.5335625","73.5335625",
"21115",B11,"14",Se,"319.5373657","1149.414985","73.50646757","73.50646757",
"21115",,"14",Se,"319.5373657","1149.414985","73.50646757","73.50646757",
"48056",,"14",Fa,"294.6450483","1059.874274","73.18410667","73.18410667",
"52086",,"14",Fa,"292.9712768","1053.853514","72.76837434","72.76837434",
"46275",,"14",Se,"315.4038839","1134.546345","72.55560023","72.55560023",
"49036",,"14",Fa,"291.5389477","1048.701251","72.41261162","72.41261162",
"26155",,"14",Se,"314.6326855","1131.77225","72.37819352","72.37819352",
"59126",,"14",Fa,"290.5315318","1045.077453","72.16238908","72.16238908",
"54136",,"14",Fa,"289.5859022","1041.675907","71.92751306","71.92751306",
"24135",,"14",Se,"311.9397384","1122.08539","71.75870719","71.75870719",
"5055",C5,"14",Se,"310.8088188","1118.017334","71.49855013","71.49855013",
"55136",,"14",Fa,"286.2896441","1029.818863","71.10878656","71.10878656",
"14045",C5,"14",Se,"308.5798701","1109.999533","70.98580212","70.98580212",
"14045",B11,"14",Se,"308.5798701","1109.999533","70.98580212","70.98580212",
"49086",,"14",Fa,"283.4401572","1019.568911","70.40102938","70.40102938",
"60126",,"14",Fa,"281.4268512","1012.326803","69.90096328","69.90096328",
"38245",,"14",Se,"303.3690992","1091.255752","69.78711487","69.78711487",
"3015",C5,"14",Se,"303.2034745","1090.65998","69.74901454","69.74901454",
"3015",,"14",Se,"303.2034745","1090.65998","69.74901454","69.74901454",
"60136",,"14",Fa,"280.0077902","1007.222267","69.54849608","69.54849608",
"42255",,"14",Se,"300.9116317","1082.415941","69.22179834","69.22179834",
"46046",,"14",Se,"298.8757693","1075.092695","68.75346797","68.75346797",
"52106",,"14",Fa,"274.893191","988.824428","68.27812899","68.27812899",
"57136",,"14",Fa,"274.5399346","987.5537215","68.19038696","68.19038696",
"38235",,"14",Se,"296.4020522","1066.194432","68.18441337","68.18441337",
"37205",R11,"14",Se,"296.3348441","1065.952677","68.16895281","68.16895281",
"37205",,"14",Se,"296.3348441","1065.952677","68.16895281","68.16895281",
"61146",G16,"14",Fa,"290.4594124","691.5700295","68.10498662","68.10498662",
"49076",,"14",Fa,"273.2090951","982.7665291","67.85983228","67.85983228",
"2025",C5,"14",Se,"293.9358338","1057.323143","67.6170838","67.6170838",
"2025",,"14",Se,"293.9358338","1057.323143","67.6170838","67.6170838",
"57116",,"14",Fa,"271.9950715","978.3995377","67.5582924","67.5582924",
"60146",G16,"14",Fa,"288.0636326","685.8657919","67.54324015","67.54324015",
"8065",C5,"14",Sw,"448.3963201","1612.936403","67.51558232","67.51558232",
"8065",CO1,"14",Sw,"448.3963201","1612.936403","67.51558232","67.51558232",
"8065",CO2,"14",Sw,"448.3963201","1612.936403","67.51558232","67.51558232",
"40245",,"14",Se,"293.4658778","1055.632654","67.50897498","67.50897498",
"49056",,"14",Se,"292.4205107","1051.872341","67.26849843","67.26849843",
"25155",,"14",Se,"292.4117086","1051.840678","67.2664736","67.2664736",
"45265",,"14",Se,"291.9710647","1050.255629","67.16510775","67.16510775",
"27165",,"14",Se,"291.719934","1049.352281","67.10733757","67.10733757",
"50046",,"14",Se,"291.6711161","1049.176677","67.09610748","67.09610748",
"14045",B12,"14",Se,"300.2679544","1080.100555","66.96990678","66.96990678",
"40215",R11,"14",Se,"290.4987789","1044.959636","66.8264227","66.8264227",
"40215",,"14",Se,"290.4987789","1044.959636","66.8264227","66.8264227",
"31155",,"14",Se,"289.7227603","1042.168202","66.64790714","66.64790714",
"41285",,"14",Fa,"267.7807116","963.2399698","66.51152726","66.51152726",
"36155",R11,"14",Se,"288.1244108","1036.418744","66.28022237","66.28022237",
"57146",,"14",Fa,"266.3332485","958.0332681","66.15200555","66.15200555",
"50066",,"14",Se,"286.1901586","1029.461002","65.83526644","65.83526644",
"46265",,"14",Se,"285.5265354","1027.073868","65.68260636","65.68260636",
"30165",,"14",Se,"285.0743267","1025.447218","65.57858015","65.57858015",
"53076",,"14",Se,"284.7202545","1024.173577","65.49712929","65.49712929",
"56136",,"14",Fa,"260.8567097","938.3334883","64.7917397","64.7917397",
"56255",E14,"9",Pl,"360.5663099","1802.831549","64.52874964","64.52874964",
"55126",,"14",Fa,"259.6906891","934.1391694","64.50212282","64.50212282",
"57126",,"14",Fa,"259.1396271","932.1569321","64.36524973","64.36524973",
"8014",,"10",Sw,"426.2033657","1533.105632","64.17396202","64.17396202",
"51046",,"14",Se,"278.8866568","1003.189413","64.15516679","64.15516679",
"44036",,"14",Fa,"257.5513627","926.4437507","63.9707557","63.9707557",
"58116",,"14",Fa,"257.3569078","925.7442727","63.92245688","63.92245688",
"59126",G16,"14",Fa,"272.3762622","648.51491","63.86497012","63.86497012",
"45225",E14,"14",Se,"239.4567679","1197.28384","63.68951384","63.68951384",
"21125",,"14",Se,"275.2374927","990.0629233","63.31571202","63.31571202",
"31135",R11,"14",Se,"274.9871477","989.1624017","63.25812259","63.25812259",
"31135",,"14",Se,"274.9871477","989.1624017","63.25812259","63.25812259",
"58146",,"14",Fa,"254.3905951","915.074083","63.18568242","63.18568242",
"46036",,"14",Fa,"254.0238574","913.7548827","63.0945919","63.0945919",
"46056",,"14",Fa,"253.9219572","913.3883353","63.06928188","63.06928188",
"54096",,"14",Fa,"253.3598468","911.3663553","62.92966456","62.92966456",
"38215",,"14",Se,"273.2656742","982.970051","62.86211432","62.86211432",
"39235",,"14",Se,"272.9103254","981.6918181","62.7803698","62.7803698",
"44245",,"14",Se,"272.6626409","980.8008664","62.72339237","62.72339237",
"56146",,"14",Fa,"252.2834341","907.4943674","62.66230457","62.66230457",
"56126",,"14",Se,"272.3122245","979.5403759","62.64278249","62.64278249",
"53086",,"14",Fa,"252.0772141","906.7525687","62.61108352","62.61108352",
"36165",R11,"14",Se,"271.7885284","977.6565771","62.52231129","62.52231129",
"47066",,"14",Fa,"251.3689598","904.2048912","62.4351669","62.4351669",
"25145",,"14",Se,"270.2568918","972.1470929","62.16997316","62.16997316",
"41205",R11,"14",Se,"270.2539245","972.1364192","62.16929057","62.16929057",
"41205",,"14",Se,"270.2539245","972.1364192","62.16929057","62.16929057",
"30145",,"14",Se,"268.9492993","967.4435227","61.86917421","61.86917421",
"60126",G16,"14",Fa,"263.8405317","628.191742","61.86356892","61.86356892",
"48066",,"14",Fa,"248.5784326","894.1670239","61.74205417","61.74205417",
"33135",R11,"14",Se,"268.3098267","965.1432614","61.72206974","61.72206974",
"60136",G16,"14",Fa,"262.5101475","625.0241607","61.55162932","61.55162932",
"31145",,"14",Se,"267.4733666","962.1344121","61.52965022","61.52965022",
"52036",,"14",Se,"265.6920505","955.7268002","61.11987574","61.11987574",
"54056",,"14",Fa,"245.3512434","882.5584296","60.94048306","60.94048306",
"42245",,"14",Se,"264.5809229","951.7299384","60.86427164","60.86427164",
"43255",,"14",Se,"262.1865549","943.1171041","60.31347054","60.31347054",
"47275",,"14",Se,"261.9547015","942.2830988","60.26013491","60.26013491",
"33185",,"14",Se,"261.3473335","940.0983221","60.12041581","60.12041581",
"58106",E10,"14",Fa,"241.9788442","870.4274971","60.10284459","60.10284459",
"7025",CO1,"10",Sw,"397.1870325","1428.730333","59.80493725","59.80493725",
"7025",CO1,"14",Sw,"397.1870325","1428.730333","59.80493725","59.80493725",
"7025",CO2,"10",Sw,"397.1870325","1428.730333","59.80493725","59.80493725",
"7025",CO2,"14",Sw,"397.1870325","1428.730333","59.80493725","59.80493725",
"37215",,"14",Se,"259.910697","934.9305647","59.78993153","59.78993153",
"23125",,"14",Se,"259.7796874","934.4593072","59.75979405","59.75979405",
"40185",R11,"14",Se,"259.5823421","933.7494321","59.71439668","59.71439668",
"31185",,"14",Fa,"239.370028","861.0432662","59.45486533","59.45486533",
"55026",E14,"9",Pl,"331.4484059","1657.242029","59.31766395","59.31766395",
"50076",,"14",Fa,"238.738919","858.77309","59.29811011","59.29811011",
"7014",,"10",Sw,"392.2922245","1411.12311","59.06792002","59.06792002",
"42195",R11,"14",Se,"255.915753","920.5602625","58.87093346","58.87093346",
"42265",,"14",Se,"255.8224212","920.2245367","58.84946339","58.84946339",
"56265",E14,"9",Pl,"327.7530995","1638.765497","58.65633345","58.65633345",
"39225",,"14",Se,"254.3223644","914.8286489","58.50438989","58.50438989",
"54126",,"14",Fa,"235.3548049","846.6000178","58.45756191","58.45756191",
"42215",E13,"14",Se,"254.0677684","913.9128361","58.44582257","58.44582257",
"42215",,"14",Se,"254.0677684","913.9128361","58.44582257","58.44582257",
"34185",R11,"14",Se,"253.9007996","913.3122289","58.40741301","58.40741301",
"34185",,"14",Se,"253.9007996","913.3122289","58.40741301","58.40741301",
"34145",R11,"14",Se,"253.5553099","912.06946","58.32793645","58.32793645",
"56036",E14,"14",Sb,"271.457354","1357.28677","58.26560647","58.26560647",
"33145",R11,"14",Se,"253.1405337","910.5774594","58.23252122","58.23252122",
"33145",,"14",Se,"253.1405337","910.5774594","58.23252122","58.23252122",
"33175",,"14",Se,"252.9826842","910.0096554","58.19620947","58.19620947",
"39215",R11,"14",Se,"252.7486665","909.1678653","58.14237598","58.14237598",
"39215",,"14",Se,"252.7486665","909.1678653","58.14237598","58.14237598",
"53036",,"14",Fa,"233.8514243","841.1921737","58.08415136","58.08415136",
"45235",E13,"14",Fa,"232.2764665","835.526858","57.69296244","57.69296244",
"45235",,"14",Fa,"232.2764665","835.526858","57.69296244","57.69296244",
"55265",E14,"9",Pl,"321.8634405","1609.317202","57.60229062","57.60229062",
"32185",,"14",Se,"250.1331426","899.7595057","57.5407001","57.5407001",
"56026",E14,"9",Pl,"321.1153605","1605.576803","57.4684105","57.4684105",
"58215",E14,"9",Sb,"250.1617428","1250.808714","57.26577534","57.26577534",
"52046",,"14",Se,"248.3724416","893.4260491","57.13566795","57.13566795",
"44265",,"14",Se,"248.0501738","892.2668123","57.06153337","57.06153337",
"35165",R11,"14",Se,"247.7807339","891.2976041","56.99955134","56.99955134",
