sppgrp,species,b0,b1,b2,db0,db1,uStumpHt,uStumpD,uTopD,uMinlen
C,Fa,4.8689,0.3822,2.1805,0.33,1.0443,0.15,15.0,11.0,4.88
C,Fb,10.4602,0.2401,2.211,0.33,1.0443,0.15,15.0,11.0,4.88
C,Fd,504.288,-0.7858,2.1973,0.2374,1.0953,0.15,15.0,11.0,4.88
C,La,59.2599,-0.3284,2.2219,0.3832,1.0347,0.15,15.0,11.0,4.88
C,Lt,59.2599,-0.3284,2.2219,0.3832,1.0347,0.15,15.0,11.0,4.88
C,Pf,11.8367,0.246,2.1264,0.2659,1.0271,0.15,15.0,11.0,4.88
C,Pj,15.5003,0.0654,2.1485,0.2659,1.0271,0.15,15.0,11.0,4.88
C,Pl,11.8367,0.246,2.1264,0.2659,1.0271,0.15,15.0,11.0,4.88
C,Pw,11.8367,0.246,2.1264,0.2659,1.0271,0.15,15.0,11.0,4.88
C,Sb,15.7745,0.15,2.2548,0.3832,1.0347,0.15,15.0,11.0,4.88
C,Se,1.9517,0.7223,2.1812,0.3832,1.0347,0.15,15.0,11.0,4.88
C,Sw,5.7006,0.4099,2.1581,0.3832,1.0347,0.15,15.0,11.0,4.88
D,Aw,6.7233,0.4554,2.1583,0.2183,1.0639,0.15,15.0,10.0,4.88
D,Bw,22.143,0.0233,2.2069,0.138,1.0619,0.15,15.0,10.0,4.88
D,Pb,6.0469,0.3672,2.1855,0.2183,1.0639,0.15,15.0,10.0,4.88
