TRM,m²,sum,count,mean_merch_volume
51086.00000000,18937500.00000000,36446.75032806,"303",120.28630471
60225.00000000,28375000.00000000,45628.64997864,"454",100.50363431
101104.00000000,2187500.00000000,2805.80335617,"35",80.16581018
96255.00000000,11312500.00000000,23980.03327560,"181",132.48637169
124055.00000000,3687500.00000000,4692.93671417,"59",79.54130024
124054.00000000,125000.00000000,126.47666931,"2",63.23833466
48036.00000000,23562500.00000000,46565.57687759,"377",123.51611904
97165.00000000,2875000.00000000,5169.50336075,"46",112.38050784
64075.00000000,26312500.00000000,54267.79673004,"421",128.90213000
102225.00000000,1812500.00000000,3927.38329697,"29",135.42701024
107126.00000000,23562500.00000000,36657.65022659,"377",97.23514649
62124.00000000,437500.00000000,913.49331665,"7",130.49904524
115144.00000000,625000.00000000,837.95666122,"10",83.79566612
40125.00000000,51062500.00000000,104791.57652283,"817",128.26386355
89075.00000000,8562500.00000000,16000.73332977,"137",116.79367394
95016.00000000,14687500.00000000,32473.52643967,"235",138.18521889
111154.00000000,687500.00000000,951.03331375,"11",86.45757398
86025.00000000,11062500.00000000,22935.44662857,"177",129.57879451
49065.00000000,125000.00000000,200.41333008,"2",100.20666504
93016.00000000,31812500.00000000,67516.54285812,"509",132.64546730
112215.00000000,41937500.00000000,79197.92981720,"671",118.02970166
113086.00000000,7937500.00000000,13767.67690277,"127",108.40690475
110125.00000000,13437500.00000000,22374.94987106,"215",104.06953428
52065.00000000,2250000.00000000,3954.96998215,"36",109.86027728
56105.00000000,11000000.00000000,23812.42670822,"176",135.29787902
81116.00000000,812500.00000000,1070.39335251,"13",82.33795019
44105.00000000,55375000.00000000,131288.31673050,"886",148.18094439
107235.00000000,24625000.00000000,50529.73693466,"394",128.24806329
44115.00000000,57375000.00000000,128941.95992661,"918",140.45965134
39265.00000000,22375000.00000000,56972.53304291,"358",159.14115375
85094.00000000,14687500.00000000,21158.97325516,"235",90.03818406
124095.00000000,2187500.00000000,2727.67664719,"35",77.93361849
89034.00000000,21000000.00000000,36005.51670837,"336",107.15927592
114214.00000000,7937500.00000000,10894.20998383,"127",85.78118098
91065.00000000,5312500.00000000,7108.69333649,"85",83.63168631
104086.00000000,4812500.00000000,8567.41989899,"77",111.26519349
57144.00000000,1125000.00000000,2227.66669083,"18",123.75926060
70195.00000000,1937500.00000000,4013.68668365,"31",129.47376399
3015.00000000,10312500.00000000,19907.88671875,"165",120.65385890
74024.00000000,1125000.00000000,1579.99665833,"18",87.77759213
122114.00000000,8812500.00000000,14503.30662918,"141",102.86033070
114055.00000000,375000.00000000,380.72000504,"6",63.45333417
90245.00000000,10875000.00000000,16955.40008545,"174",97.44482808
120215.00000000,5187500.00000000,6734.62330246,"83",81.14003979
96036.00000000,18625000.00000000,39445.65637589,"298",132.36797442
68034.00000000,7375000.00000000,12051.57328796,"118",102.13197702
48284.00000000,187500.00000000,274.13999939,"3",91.37999980
63145.00000000,17125000.00000000,32410.11344528,"274",118.28508557
50235.00000000,37000000.00000000,61680.01645660,"592",104.18921699
93075.00000000,3812500.00000000,5623.41000366,"61",92.18704924
49155.00000000,22562500.00000000,39693.55982971,"361",109.95445936
114045.00000000,562500.00000000,572.59332275,"9",63.62148031
70154.00000000,9125000.00000000,16342.76004410,"146",111.93671263
